,5cc2ecf5e2a25b001ad51820
PlayerDetails,5cc2ecf5e2a25b001ad51820
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RT
Pond4_#Fishes,18
Pond9_Type,RT
Pond9_#Fishes,13
Pond12_Type,RT
Pond12_#Fishes,18
Pond6_Type,RT
Pond6_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,15
Pond10_Type,RT
Pond10_#Fishes,13
Pond2_Type,RT
Pond2_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,12
Pond8_Type,RT
Pond8_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:40:25 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,1.148
Pond4Fish1_PondTime,7.816
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,10
Pond4Fish1_TimeLeft,1194.582
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.081
Pond4Fish2_PondTime,13.937
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,20
Pond4Fish2_TimeLeft,1188.461
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.162
Pond4Fish3_PondTime,20.302
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,30
Pond4Fish3_TimeLeft,1182.096
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.962
Pond4Fish4_PondTime,26.961
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,40
Pond4Fish4_TimeLeft,1175.437
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,1.089
Pond4Fish5_PondTime,33.953
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,50
Pond4Fish5_TimeLeft,1168.444
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,1.087
Pond4Fish6_PondTime,41.324
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,60
Pond4Fish6_TimeLeft,1161.074
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,1.108
Pond4Fish7_PondTime,49.158
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,70
Pond4Fish7_TimeLeft,1153.24
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,0.85
Pond4Fish8_PondTime,57.523
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,80
Pond4Fish8_TimeLeft,1144.875
Type,RT
FishN,17
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.063
Pond4Fish9_PondTime,66.575
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,90
Pond4Fish9_TimeLeft,1135.823
Type,RT
FishN,17
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.153
Pond4Fish10_PondTime,76.45
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,100
Pond4Fish10_TimeLeft,1125.948
PondEnd_LastFish,10
FishN,18
Type,RT
GiveUpTime,3.578
PondTime,79.389
TimeLeft,1122.499
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,11.211643074639142
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.202
Pond9Fish1_PondTime,9.29
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,110
Pond9Fish1_TimeLeft,1101.379
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.989
Pond9Fish2_PondTime,17.133
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,120
Pond9Fish2_TimeLeft,1093.536
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.17
Pond9Fish3_PondTime,25.506
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,130
Pond9Fish3_TimeLeft,1085.163
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.44
Pond9Fish4_PondTime,34.549
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,140
Pond9Fish4_TimeLeft,1076.119
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.13
Pond9Fish5_PondTime,44.42
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,150
Pond9Fish5_TimeLeft,1066.249
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.032
Pond9Fish6_PondTime,55.372
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,160
Pond9Fish6_TimeLeft,1055.297
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,1.179
Pond9Fish7_PondTime,67.759
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,170
Pond9Fish7_TimeLeft,1042.91
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,0.99
Pond9Fish8_PondTime,82.144
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,180
Pond9Fish8_TimeLeft,1028.524
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,1.096
Pond9Fish9_PondTime,99.512
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,190
Pond9Fish9_TimeLeft,1011.157
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,15
Pond9Fish10_CatchTime,1.078
Pond9Fish10_PondTime,121.886
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,200
Pond9Fish10_TimeLeft,988.783
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,30.074
PondTime,151.25
TimeLeft,958.915
PondOutcome,100
TotalOutcome,200
PondStart,PondStart
PondIntroTime,11.982344489078969
Type,RT
FishN,16
Fish,1
