,5cc4e12d155841001b26c35f
PlayerDetails,5cc4e12d155841001b26c35f
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RT
Pond9_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,18
Pond2_Type,RT
Pond2_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,15
Pond3_Type,RT
Pond3_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,19
Pond8_Type,RT
Pond8_#Fishes,13
Pond4_Type,RT
Pond4_#Fishes,12
Pond6_Type,RT
Pond6_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:34:25 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,2.064
Pond9Fish1_PondTime,9.79
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,10
Pond9Fish1_TimeLeft,1192.609
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.136
Pond9Fish2_PondTime,18.16
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,20
Pond9Fish2_TimeLeft,1184.239
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.024
Pond9Fish3_PondTime,27.204
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,30
Pond9Fish3_TimeLeft,1175.194
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.527
Pond9Fish4_PondTime,37.074
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,40
Pond9Fish4_TimeLeft,1165.325
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.287
Pond9Fish5_PondTime,48.021
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,50
Pond9Fish5_TimeLeft,1154.378
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.522
Pond9Fish6_PondTime,60.397
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,60
Pond9Fish6_TimeLeft,1142.002
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.377
Pond9Fish7_PondTime,74.768
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,70
Pond9Fish7_TimeLeft,1127.631
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.237
Pond9Fish8_PondTime,92.129
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,80
Pond9Fish8_TimeLeft,1110.27
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.306
Pond9Fish9_PondTime,114.508
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,90
Pond9Fish9_TimeLeft,1087.891
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,30.276
PondTime,144.294
TimeLeft,1057.602
PondOutcome,90
TotalOutcome,90
PondStart,PondStart
PondIntroTime,19.5452973106876
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.443
Pond10Fish1_PondTime,7.82
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,100
Pond10Fish1_TimeLeft,1029.605
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.5294117647058822
