,5ce5a99c0af4f10015c5b6cf
PlayerDetails,5ce5a99c0af4f10015c5b6cf
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RT
Pond9_#Fishes,15
Pond4_Type,RT
Pond4_#Fishes,16
Pond10_Type,RT
Pond10_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,19
Pond6_Type,RT
Pond6_#Fishes,19
Pond5_Type,RT
Pond5_#Fishes,17
Pond2_Type,RT
Pond2_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 08:06:23 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.745
Pond9Fish1_PondTime,8.579
Pond9Fish1_PondOutcome,20
Pond9Fish1_TotalOutcome,20
Pond9Fish1_TimeLeft,1193.819
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.218
Pond9Fish2_PondTime,15.645
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,30
Pond9Fish2_TimeLeft,1186.753
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.061
Pond9Fish3_PondTime,23.061
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,40
Pond9Fish3_TimeLeft,1179.337
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.038
Pond9Fish4_PondTime,30.946
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,50
Pond9Fish4_TimeLeft,1171.452
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.979
Pond9Fish5_PondTime,39.363
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1163.035
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.754
Pond9Fish6_PondTime,48.477
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,70
Pond9Fish6_TimeLeft,1153.921
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.918
Pond9Fish7_PondTime,58.411
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,80
Pond9Fish7_TimeLeft,1143.987
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.805
Pond9Fish8_PondTime,69.394
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,90
Pond9Fish8_TimeLeft,1133.004
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.967
Pond9Fish9_PondTime,81.844
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,100
Pond9Fish9_TimeLeft,1120.554
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,0.764
Pond9Fish10_PondTime,96.227
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,110
Pond9Fish10_TimeLeft,1106.171
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,1.566
Pond9Fish11_PondTime,113.628
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,120
Pond9Fish11_TimeLeft,1088.77
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,15
Pond9Fish12_CatchTime,1.234
Pond9Fish12_PondTime,136.014
Pond9Fish12_PondOutcome,130
Pond9Fish12_TotalOutcome,130
Pond9Fish12_TimeLeft,1066.384
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,20
Pond9Fish13_CatchTime,1.179
Pond9Fish13_PondTime,168.381
Pond9Fish13_PondOutcome,140
Pond9Fish13_TotalOutcome,140
Pond9Fish13_TimeLeft,1034.017
PondEnd_LastFish,13
FishN,15
Type,RT
GiveUpTime,1.205
PondTime,168.98
TimeLeft,1032.915
PondOutcome,140
TotalOutcome,140
PondStart,PondStart
PondIntroTime,12.64692997559905
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.181
Pond4Fish1_PondTime,8.326
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,150
Pond4Fish1_TimeLeft,1011.29
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.438
Pond4Fish2_PondTime,14.99
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,160
Pond4Fish2_TimeLeft,1004.626
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.523
Pond4Fish3_PondTime,22.024
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,170
Pond4Fish3_TimeLeft,997.592
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,1.163
Pond4Fish4_PondTime,29.423
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,180
Pond4Fish4_TimeLeft,990.193
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
