,5cf83d28310c7a0001a9cf2e
PlayerDetails,5cf83d28310c7a0001a9cf2e
GameCompleted,declined
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,19
Pond1_Type,RT
Pond1_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,19
Pond10_Type,RT
Pond10_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:19:50 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.207
Pond12Fish1_PondTime,8.873
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1193.526
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.054
Pond12Fish2_PondTime,16.234
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,30
Pond12Fish2_TimeLeft,1186.164
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.699
Pond12Fish3_PondTime,24.06
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,40
Pond12Fish3_TimeLeft,1178.339
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.873
Pond12Fish4_PondTime,32.426
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,50
Pond12Fish4_TimeLeft,1169.973
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.995
Pond12Fish5_PondTime,41.459
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,60
Pond12Fish5_TimeLeft,1160.94
Type,RT
FishN,16
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.03
Pond12Fish6_PondTime,51.325
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,70
Pond12Fish6_TimeLeft,1151.074
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,0.8
PondTime,51.367
TimeLeft,1150.529
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,18.792525075841695
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.071
Pond5Fish1_PondTime,8.267
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,80
Pond5Fish1_TimeLeft,1122.859
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.983
Pond5Fish2_PondTime,14.914
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,90
Pond5Fish2_TimeLeft,1116.212
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.022
Pond5Fish3_PondTime,21.887
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,100
Pond5Fish3_TimeLeft,1109.239
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.722
Pond5Fish4_PondTime,29.275
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,110
Pond5Fish4_TimeLeft,1101.851
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.894
Pond5Fish5_PondTime,37.097
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,120
Pond5Fish5_TimeLeft,1094.029
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.131
Pond5Fish6_PondTime,45.459
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,130
Pond5Fish6_TimeLeft,1085.667
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,-1
Pond5Fish7_PondTime,54.556
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,130
Pond5Fish7_TimeLeft,1076.57
PondEnd_LastFish,7
FishN,16
Type,RT
GiveUpTime,16.429
PondTime,61.223
TimeLeft,1069.401
PondOutcome,60
TotalOutcome,130
PondStart,PondStart
PondIntroTime,10.023242649622262
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.632
Pond6Fish1_PondTime,7.623
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,140
Pond6Fish1_TimeLeft,1051.143
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.936
Pond6Fish2_PondTime,13.514
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,150
Pond6Fish2_TimeLeft,1045.252
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.963
Pond6Fish3_PondTime,19.638
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,160
Pond6Fish3_TimeLeft,1039.128
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.111
Pond6Fish4_PondTime,25.995
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,170
Pond6Fish4_TimeLeft,1032.771
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,-1
Pond6Fish5_PondTime,32.703
Pond6Fish5_PondOutcome,40
Pond6Fish5_TotalOutcome,170
Pond6Fish5_TimeLeft,1026.063
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.962
Pond6Fish6_PondTime,39.684
Pond6Fish6_PondOutcome,50
Pond6Fish6_TotalOutcome,180
Pond6Fish6_TimeLeft,1019.082
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,0.774
Pond6Fish7_PondTime,47.053
Pond6Fish7_PondOutcome,60
Pond6Fish7_TotalOutcome,190
Pond6Fish7_TimeLeft,1011.713
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,golden
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.158
Pond6Fish8_PondTime,54.865
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,210
Pond6Fish8_TimeLeft,1003.901
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.329
Pond6Fish9_PondTime,63.227
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,220
Pond6Fish9_TimeLeft,995.539
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.19
Pond6Fish10_PondTime,72.256
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,230
Pond6Fish10_TimeLeft,986.51
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.009
Pond6Fish11_PondTime,82.117
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,240
Pond6Fish11_TimeLeft,976.649
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,1.071
PondTime,82.4
TimeLeft,975.863
PondOutcome,110
TotalOutcome,240
PondStart,PondStart
PondIntroTime,17.34940999187529
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,0.952
Pond1Fish1_PondTime,8.018
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,250
Pond1Fish1_TimeLeft,949.859
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,1.279
Pond1Fish2_PondTime,14.38
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,260
Pond1Fish2_TimeLeft,943.498
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,1.199
Pond1Fish3_PondTime,21.027
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,270
Pond1Fish3_TimeLeft,936.85
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.885
Pond1Fish4_PondTime,28.014
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,280
Pond1Fish4_TimeLeft,929.864
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,1.131
Pond1Fish5_PondTime,35.382
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,290
Pond1Fish5_TimeLeft,922.496
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,0.941
Pond1Fish6_PondTime,43.196
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,300
Pond1Fish6_TimeLeft,914.682
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,1.426
Pond1Fish7_PondTime,51.558
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,310
Pond1Fish7_TimeLeft,906.32
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,1.06
Pond1Fish8_PondTime,60.586
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,320
Pond1Fish8_TimeLeft,897.292
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,1.036
Pond1Fish9_PondTime,70.442
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,330
Pond1Fish9_TimeLeft,887.436
PondEnd_LastFish,9
FishN,17
Type,RT
GiveUpTime,0.87
PondTime,70.55
TimeLeft,886.825
PondOutcome,90
TotalOutcome,330
PondStart,PondStart
PondIntroTime,15.300204153172672
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,17.543
PondTime,3.431
TimeLeft,866.971
PondOutcome,0
TotalOutcome,330
PondStart,PondStart
PondIntroTime,13.715620026923716
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.963
Pond7Fish1_PondTime,7.866
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,340
Pond7Fish1_TimeLeft,844.779
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.149
Pond7Fish2_PondTime,13.756
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,350
Pond7Fish2_TimeLeft,838.889
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.486
Pond7Fish3_PondTime,19.881
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,360
Pond7Fish3_TimeLeft,832.764
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.645
Pond7Fish4_PondTime,26.244
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,370
Pond7Fish4_TimeLeft,826.401
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,golden
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.177
Pond7Fish5_PondTime,32.897
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,390
Pond7Fish5_TimeLeft,819.748
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,39.939
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,390
Pond7Fish6_TimeLeft,812.706
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,golden
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.482
Pond7Fish7_PondTime,47.307
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,410
Pond7Fish7_TimeLeft,805.338
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,2.035
Pond7Fish8_PondTime,55.184
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,420
Pond7Fish8_TimeLeft,797.461
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,-1
Pond7Fish9_PondTime,63.628
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,420
Pond7Fish9_TimeLeft,789.017
PondEnd_LastFish,9
FishN,19
Type,RT
GiveUpTime,13.339
PondTime,68.422
TimeLeft,783.72
PondOutcome,90
TotalOutcome,420
PondStart,PondStart
PondIntroTime,16.09447387047112
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,-1
Pond10Fish1_PondTime,9.78
Pond10Fish1_PondOutcome,0
Pond10Fish1_TotalOutcome,420
Pond10Fish1_TimeLeft,757.222
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
