,5d17a2f44c7891001601beec
PlayerDetails,5d17a2f44c7891001601beec
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,13
Pond12_Type,RT
Pond12_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,16
Pond1_Type,RT
Pond1_#Fishes,15
Pond2_Type,RT
Pond2_#Fishes,14
Pond9_Type,RT
Pond9_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,17
Pond8_Type,RT
Pond8_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 07:58:32 GMT+0100 (Středoevropský standardní čas)
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.136
Pond10Fish1_PondTime,9.261
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1193.138
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.963
Pond10Fish2_PondTime,17.073
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1185.325
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.772
Pond10Fish3_PondTime,25.438
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,30
Pond10Fish3_TimeLeft,1176.96
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.063
Pond10Fish4_PondTime,34.466
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,40
Pond10Fish4_TimeLeft,1167.933
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.92
Pond10Fish5_PondTime,44.331
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,50
Pond10Fish5_TimeLeft,1158.067
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.831
Pond10Fish6_PondTime,55.26
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,60
Pond10Fish6_TimeLeft,1147.139
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.985
Pond10Fish7_PondTime,67.626
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,70
Pond10Fish7_TimeLeft,1134.773
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,0.618
PondTime,81.869
TimeLeft,1120.028
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,14.983059670776129
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.099
Pond12Fish1_PondTime,8.281
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,80
Pond12Fish1_TimeLeft,1096.138
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.025
Pond12Fish2_PondTime,14.926
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,90
Pond12Fish2_TimeLeft,1089.493
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.179
Pond12Fish3_PondTime,21.91
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,100
Pond12Fish3_TimeLeft,1082.509
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.782
Pond12Fish4_PondTime,29.272
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,110
Pond12Fish4_TimeLeft,1075.147
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.001
Pond12Fish5_PondTime,37.089
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,120
Pond12Fish5_TimeLeft,1067.33
