,5d485e8415055400194b707f
PlayerDetails,5d485e8415055400194b707f
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,15
Pond9_Type,RT
Pond9_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,15
Pond11_Type,RT
Pond11_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,15
Pond3_Type,RT
Pond3_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,13
Pond12_Type,RT
Pond12_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 11:37:10 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.655
Pond6Fish1_PondTime,8.588
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1193.81
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.149
Pond6Fish2_PondTime,15.591
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1186.807
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.94
Pond6Fish3_PondTime,22.97
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,30
Pond6Fish3_TimeLeft,1179.427
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.948
Pond6Fish4_PondTime,30.807
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,40
Pond6Fish4_TimeLeft,1171.591
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,golden
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.282
Pond6Fish5_PondTime,39.185
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,60
Pond6Fish5_TimeLeft,1163.213
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.661
Pond6Fish6_PondTime,48.224
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,70
Pond6Fish6_TimeLeft,1154.173
PondEnd_LastFish,6
FishN,15
Type,RT
GiveUpTime,8.867
PondTime,55.962
TimeLeft,1145.929
PondOutcome,70
TotalOutcome,70
PondStart,PondStart
PondIntroTime,17.854942826088518
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,1.141
Pond9Fish1_PondTime,7.815
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,80
Pond9Fish1_TimeLeft,1119.623
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,13.989
Pond9Fish2_PondOutcome,10
Pond9Fish2_TotalOutcome,80
Pond9Fish2_TimeLeft,1113.449
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.048
Pond9Fish3_PondTime,20.371
Pond9Fish3_PondOutcome,20
Pond9Fish3_TotalOutcome,90
Pond9Fish3_TimeLeft,1107.067
PondEnd_LastFish,3
FishN,18
Type,RT
GiveUpTime,0.833
PondTime,26.976
TimeLeft,1099.941
PondOutcome,20
TotalOutcome,90
PondStart,PondStart
PondIntroTime,19.67655713437125
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,0.953
Pond4Fish1_PondTime,8.578
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,110
Pond4Fish1_TimeLeft,1071.037
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.3
Pond4Fish2_PondTime,15.578
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,120
Pond4Fish2_TimeLeft,1064.037
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,0.937
Pond4Fish3_PondTime,22.956
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,130
Pond4Fish3_TimeLeft,1056.659
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.819
Pond4Fish4_PondTime,30.795
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,140
Pond4Fish4_TimeLeft,1048.819
PondEnd_LastFish,4
FishN,15
Type,RT
GiveUpTime,0.465
PondTime,39.012
TimeLeft,1040.095
PondOutcome,50
TotalOutcome,140
PondStart,PondStart
PondIntroTime,16.741791618987918
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.375
Pond8Fish1_PondTime,8.615
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,150
Pond8Fish1_TimeLeft,1014.093
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.872
Pond8Fish2_PondTime,15.618
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,160
Pond8Fish2_TimeLeft,1007.09
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.431
Pond8Fish3_PondTime,22.992
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,170
Pond8Fish3_TimeLeft,999.716
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.033
Pond8Fish4_PondTime,30.832
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,180
Pond8Fish4_TimeLeft,991.875
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.262
Pond8Fish5_PondTime,39.21
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,190
Pond8Fish5_TimeLeft,983.498
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.385
Pond8Fish6_PondTime,48.247
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,200
Pond8Fish6_TimeLeft,974.461
PondEnd_LastFish,6
FishN,15
Type,RT
GiveUpTime,0.676
PondTime,48.518
TimeLeft,973.682
PondOutcome,60
TotalOutcome,200
PondStart,PondStart
PondIntroTime,14.836753637064248
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.098
Pond11Fish1_PondTime,9.281
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,210
Pond11Fish1_TimeLeft,948.928
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,0.964
Pond11Fish2_PondTime,17.122
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,220
Pond11Fish2_TimeLeft,941.087
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1
Pond11Fish3_PondTime,25.521
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,230
Pond11Fish3_TimeLeft,932.688
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.837
Pond11Fish4_PondTime,34.716
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,240
Pond11Fish4_TimeLeft,923.493
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,0.827
Pond11Fish5_PondTime,44.595
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,250
Pond11Fish5_TimeLeft,913.614
PondEnd_LastFish,5
FishN,13
Type,RT
GiveUpTime,0.566
PondTime,55.251
TimeLeft,902.45
PondOutcome,50
TotalOutcome,250
PondStart,PondStart
PondIntroTime,17.605225138831884
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,8.638
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,260
Pond7Fish1_TimeLeft,875.547
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.878
Pond7Fish2_PondTime,15.642
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,270
Pond7Fish2_TimeLeft,868.543
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,golden
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,1.085
Pond7Fish3_PondTime,23.019
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,290
Pond7Fish3_TimeLeft,861.165
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.983
Pond7Fish4_PondTime,30.857
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,300
Pond7Fish4_TimeLeft,853.328
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,5.454545454545454
