,5d4cb2b5438eea001b5ddeaf
PlayerDetails,5d4cb2b5438eea001b5ddeaf
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RT
Pond9_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,12
Pond11_Type,RT
Pond11_#Fishes,16
Pond2_Type,RT
Pond2_#Fishes,15
Pond10_Type,RT
Pond10_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 01:31:56 GMT-0500 (Eastern Standard Time)
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.345
Pond9Fish1_PondTime,7.609
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,10
Pond9Fish1_TimeLeft,1194.785
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.014
Pond9Fish2_PondTime,13.512
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,20
Pond9Fish2_TimeLeft,1188.883
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.756
Pond9Fish3_PondTime,19.638
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,30
Pond9Fish3_TimeLeft,1182.757
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.032
Pond9Fish4_PondTime,26.013
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,40
Pond9Fish4_TimeLeft,1176.382
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.21
Pond9Fish5_PondTime,32.683
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,50
Pond9Fish5_TimeLeft,1169.712
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.318
Pond9Fish6_PondTime,39.683
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,60
Pond9Fish6_TimeLeft,1162.711
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.228
Pond9Fish7_PondTime,47.056
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,70
Pond9Fish7_TimeLeft,1155.339
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.258
Pond9Fish8_PondTime,54.881
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,80
Pond9Fish8_TimeLeft,1147.514
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.166
Pond9Fish9_PondTime,63.258
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,90
Pond9Fish9_TimeLeft,1139.137
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.263
Pond9Fish10_PondTime,72.297
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,100
Pond9Fish10_TimeLeft,1130.098
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.051
Pond9Fish11_PondTime,82.166
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,110
Pond9Fish11_TimeLeft,1120.229
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,1.076
PondTime,82.492
TimeLeft,1119.399
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,15.62856393167749
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.101
Pond7Fish1_PondTime,7.805
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,130
Pond7Fish1_TimeLeft,1095.335
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.998
Pond7Fish2_PondTime,13.925
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,140
Pond7Fish2_TimeLeft,1089.215
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.226
Pond7Fish3_PondTime,20.31
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,150
Pond7Fish3_TimeLeft,1082.83
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.307
Pond7Fish4_PondTime,26.967
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,160
Pond7Fish4_TimeLeft,1076.173
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,1.117
Pond7Fish5_PondTime,33.952
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,170
Pond7Fish5_TimeLeft,1069.188
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.68
Pond7Fish6_PondTime,41.327
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,180
Pond7Fish6_TimeLeft,1061.813
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.002
Pond7Fish7_PondTime,49.153
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,190
Pond7Fish7_TimeLeft,1053.987
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,1.294
Pond7Fish8_PondTime,57.532
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,200
Pond7Fish8_TimeLeft,1045.608
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,1.185
Pond7Fish9_PondTime,66.577
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,210
Pond7Fish9_TimeLeft,1036.563
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,1.275
Pond7Fish10_PondTime,76.44
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,220
Pond7Fish10_TimeLeft,1026.7
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.154
Pond7Fish11_PondTime,87.388
Pond7Fish11_PondOutcome,120
Pond7Fish11_TotalOutcome,230
Pond7Fish11_TimeLeft,1015.752
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,1.048
Pond7Fish12_PondTime,99.763
Pond7Fish12_PondOutcome,130
Pond7Fish12_TotalOutcome,240
Pond7Fish12_TimeLeft,1003.377
Type,RT
FishN,16
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,0.898
Pond7Fish13_PondTime,114.14
Pond7Fish13_PondOutcome,140
Pond7Fish13_TotalOutcome,250
Pond7Fish13_TimeLeft,989
Type,RT
FishN,16
Fish,14
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,12
Pond7Fish14_CatchTime,1.293
Pond7Fish14_PondTime,131.509
Pond7Fish14_PondOutcome,150
Pond7Fish14_TotalOutcome,260
Pond7Fish14_TimeLeft,971.631
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,0.716
PondTime,153.742
TimeLeft,948.893
PondOutcome,150
TotalOutcome,260
PondStart,PondStart
PondIntroTime,18.84648424340412
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.034
Pond5Fish1_PondTime,8.889
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,270
Pond5Fish1_TimeLeft,920.511
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.335
Pond5Fish2_PondTime,16.252
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,280
Pond5Fish2_TimeLeft,913.148
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.135
Pond5Fish3_PondTime,24.069
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,290
Pond5Fish3_TimeLeft,905.331
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.155
Pond5Fish4_PondTime,32.437
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,300
Pond5Fish4_TimeLeft,896.963
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.763
Pond5Fish5_PondTime,41.551
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,310
Pond5Fish5_TimeLeft,887.849
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.994
Pond5Fish6_PondTime,51.432
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,320
Pond5Fish6_TimeLeft,877.968
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.145
Pond5Fish7_PondTime,62.375
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,330
Pond5Fish7_TimeLeft,867.025
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,golden
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.839
Pond5Fish8_PondTime,74.752
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,350
Pond5Fish8_TimeLeft,854.648
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,0.969
Pond5Fish9_PondTime,89.139
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,360
Pond5Fish9_TimeLeft,840.261
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.176
Pond5Fish10_PondTime,106.512
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,370
Pond5Fish10_TimeLeft,822.888
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.373
Pond5Fish11_PondTime,128.879
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,380
Pond5Fish11_TimeLeft,800.521
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.372
Pond5Fish12_PondTime,161.252
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,390
Pond5Fish12_TimeLeft,768.148
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,47.795
PondTime,208.616
TimeLeft,720.281
PondOutcome,130
TotalOutcome,390
