,5d5f0b2e0e71190019c643f7
PlayerDetails,5d5f0b2e0e71190019c643f7
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,17
Pond7_Type,RT
Pond7_#Fishes,14
Pond10_Type,RT
Pond10_#Fishes,19
Pond5_Type,RT
Pond5_#Fishes,19
Pond8_Type,RT
Pond8_#Fishes,12
Pond2_Type,RT
Pond2_#Fishes,17
Pond3_Type,RT
Pond3_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,18
Pond11_Type,RT
Pond11_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:44:08 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.969
Pond6Fish1_PondTime,8.007
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1194.392
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.969
Pond6Fish2_PondTime,14.373
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1188.026
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.167
Pond6Fish3_PondTime,21.018
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,30
