,5d631df192a38a0019d83f7f
PlayerDetails,5d631df192a38a0019d83f7f
GameCompleted,declined
Selected ponds in the game,=======
Pond11_Type,RT
Pond11_#Fishes,19
Pond10_Type,RT
Pond10_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,19
Pond12_Type,RT
Pond12_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,19
Pond5_Type,RT
Pond5_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 01:47:59 GMT-0500 (Eastern Standard Time)
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,1.332
Pond11Fish1_PondTime,7.657
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,10
Pond11Fish1_TimeLeft,1194.741
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.428
Pond11Fish2_PondTime,13.598
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,20
Pond11Fish2_TimeLeft,1188.801
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,1.405
Pond11Fish3_PondTime,19.787
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,30
Pond11Fish3_TimeLeft,1182.612
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,-1
Pond11Fish4_PondTime,26.266
Pond11Fish4_PondOutcome,30
Pond11Fish4_TotalOutcome,30
Pond11Fish4_TimeLeft,1176.133
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.227
Pond11Fish5_PondTime,32.967
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,40
Pond11Fish5_TimeLeft,1169.432
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,1.303
Pond11Fish6_PondTime,39.997
Pond11Fish6_PondOutcome,50
Pond11Fish6_TotalOutcome,50
Pond11Fish6_TimeLeft,1162.402
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,47.456
Pond11Fish7_PondOutcome,50
Pond11Fish7_TotalOutcome,50
Pond11Fish7_TimeLeft,1154.942
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,1.503
Pond11Fish8_PondTime,55.358
Pond11Fish8_PondOutcome,60
Pond11Fish8_TotalOutcome,60
Pond11Fish8_TimeLeft,1147.041
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,5.454545454545454
Pond11Fish9_CatchTime,1.548
Pond11Fish9_PondTime,63.787
Pond11Fish9_PondOutcome,70
Pond11Fish9_TotalOutcome,70
Pond11Fish9_TimeLeft,1138.612
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,6
Pond11Fish10_CatchTime,0.937
Pond11Fish10_PondTime,72.866
Pond11Fish10_PondOutcome,80
Pond11Fish10_TotalOutcome,80
Pond11Fish10_TimeLeft,1129.533
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,6.666666666666667
Pond11Fish11_CatchTime,0.828
Pond11Fish11_PondTime,82.787
Pond11Fish11_PondOutcome,90
Pond11Fish11_TotalOutcome,90
Pond11Fish11_TimeLeft,1119.612
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,7.5
Pond11Fish12_CatchTime,1.805
Pond11Fish12_PondTime,93.907
Pond11Fish12_PondOutcome,100
Pond11Fish12_TotalOutcome,100
Pond11Fish12_TimeLeft,1108.492
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,8.571428571428571
Pond11Fish13_CatchTime,1.111
Pond11Fish13_PondTime,106.337
Pond11Fish13_PondOutcome,110
Pond11Fish13_TotalOutcome,110
Pond11Fish13_TimeLeft,1096.062
Type,RT
FishN,15
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,10
Pond11Fish14_CatchTime,1.305
Pond11Fish14_PondTime,120.746
Pond11Fish14_PondOutcome,120
Pond11Fish14_TotalOutcome,120
Pond11Fish14_TimeLeft,1081.652
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,15.935
PondTime,136.16
TimeLeft,1065.717
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,19.161400077864528
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.615
Pond10Fish1_PondTime,7.859
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,130
Pond10Fish1_TimeLeft,1038.062
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.5294117647058822
