,5d89d199b97096000113dbd7
PlayerDetails,5d89d199b97096000113dbd7
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,17
Pond2_Type,RT
Pond2_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 00:42:59 GMT-0600 (hora estándar central)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.844
Pond6Fish1_PondTime,7.876
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1194.523
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.912
Pond6Fish2_PondTime,14.055
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,20
Pond6Fish2_TimeLeft,1188.344
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.108
Pond6Fish3_PondTime,20.519
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,30
Pond6Fish3_TimeLeft,1181.88
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.884
Pond6Fish4_PondTime,27.248
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,40
Pond6Fish4_TimeLeft,1175.151
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.851
Pond6Fish5_PondTime,34.346
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,50
Pond6Fish5_TimeLeft,1168.053
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.912
Pond6Fish6_PondTime,41.82
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,60
Pond6Fish6_TimeLeft,1160.579
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.956
Pond6Fish7_PondTime,49.745
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,70
Pond6Fish7_TimeLeft,1152.654
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.899
Pond6Fish8_PondTime,58.218
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,80
Pond6Fish8_TimeLeft,1144.181
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.942
Pond6Fish9_PondTime,67.346
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,90
Pond6Fish9_TimeLeft,1135.053
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
