,5da42ce2aebbe900133d9d18
PlayerDetails,5da42ce2aebbe900133d9d18
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,14
Pond1_Type,RT
Pond1_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,13
Pond2_Type,RT
Pond2_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,18
Pond12_Type,RT
Pond12_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 07:56:29 GMT+0100 (Ora standard dell’Europa centrale)
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.927
Pond7Fish1_PondTime,8.905
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1193.493
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,golden
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.414
Pond7Fish2_PondTime,16.294
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,30
Pond7Fish2_TimeLeft,1186.104
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.869
Pond7Fish3_PondTime,24.13
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,40
Pond7Fish3_TimeLeft,1178.268
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.98
Pond7Fish4_PondTime,32.523
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,50
Pond7Fish4_TimeLeft,1169.876
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.719
Pond7Fish5_PondTime,41.562
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,60
Pond7Fish5_TimeLeft,1160.837
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.082
Pond7Fish6_PondTime,51.463
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,70
Pond7Fish6_TimeLeft,1150.936
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.119
Pond7Fish7_PondTime,62.427
Pond7Fish7_PondOutcome,80
Pond7Fish7_TotalOutcome,80
Pond7Fish7_TimeLeft,1139.972
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.87
Pond7Fish8_PondTime,74.815
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,90
Pond7Fish8_TimeLeft,1127.584
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.859
Pond7Fish9_PondTime,89.193
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,100
Pond7Fish9_TimeLeft,1113.206
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.449
Pond7Fish10_PondTime,106.584
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,110
Pond7Fish10_TimeLeft,1095.813
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,1.832
PondTime,108.073
TimeLeft,1093.816
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,19.22289707697928
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.367
Pond1Fish1_PondTime,9.285
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,120
Pond1Fish1_TimeLeft,1064.669
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.25
Pond1Fish2_PondTime,17.124
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,130
Pond1Fish2_TimeLeft,1056.83
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.298
Pond1Fish3_PondTime,25.503
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,140
Pond1Fish3_TimeLeft,1048.452
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.831
Pond1Fish4_PondTime,34.548
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,150
Pond1Fish4_TimeLeft,1039.407
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.84
Pond1Fish5_PondTime,44.431
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,160
Pond1Fish5_TimeLeft,1029.523
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.9
Pond1Fish6_PondTime,55.6
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,170
Pond1Fish6_TimeLeft,1018.355
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.159
Pond1Fish7_PondTime,67.987
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,180
Pond1Fish7_TimeLeft,1005.967
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.82
Pond1Fish8_PondTime,82.368
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,190
Pond1Fish8_TimeLeft,991.586
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,0.941
Pond1Fish9_PondTime,99.742
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,200
Pond1Fish9_TimeLeft,974.213
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,golden
Pond1Fish10_FishLatency,15
Pond1Fish10_CatchTime,1.048
Pond1Fish10_PondTime,122.132
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,220
Pond1Fish10_TimeLeft,951.823
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,0.649
PondTime,154.358
TimeLeft,919.092
PondOutcome,110
TotalOutcome,220
PondStart,PondStart
PondIntroTime,10.421021215151995
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.977
Pond10Fish1_PondTime,8.283
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,230
Pond10Fish1_TimeLeft,899.747
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.123
Pond10Fish2_PondTime,14.95
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,240
Pond10Fish2_TimeLeft,893.08
