,5dd61dcccaee3e5c8b9141cf
PlayerDetails,5dd61dcccaee3e5c8b9141cf
GameCompleted,declined
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,15
Pond4_Type,RT
Pond4_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,17
Pond3_Type,RT
Pond3_#Fishes,17
Pond5_Type,RT
Pond5_#Fishes,16
Pond9_Type,RT
Pond9_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:30:13 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.331
Pond10Fish1_PondTime,8.576
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1193.818
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.386
Pond10Fish2_PondTime,15.602
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1186.792
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.748
Pond10Fish3_PondTime,23.051
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,40
Pond10Fish3_TimeLeft,1179.343
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.503
Pond10Fish4_PondTime,30.879
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,50
Pond10Fish4_TimeLeft,1171.515
PondEnd_LastFish,4
FishN,15
Type,RT
GiveUpTime,6.603
PondTime,37.196
TimeLeft,1164.696
PondOutcome,50
TotalOutcome,50
PondStart,PondStart
PondIntroTime,13.396447610575706
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.306
Pond4Fish1_PondTime,8.039
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,60
Pond4Fish1_TimeLeft,1142.632
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,1.688
Pond4Fish2_PondTime,14.406
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,70
Pond4Fish2_TimeLeft,1136.265
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.197
Pond4Fish3_PondTime,21.073
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,80
Pond4Fish3_TimeLeft,1129.598
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,-1
Pond4Fish4_PondTime,28.137
Pond4Fish4_PondOutcome,30
Pond4Fish4_TotalOutcome,80
Pond4Fish4_TimeLeft,1122.534
Type,RT
