,5e1225054acfb98ae08e0cb7
PlayerDetails,5e1225054acfb98ae08e0cb7
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RT
Pond5_#Fishes,14
Pond12_Type,RT
Pond12_#Fishes,19
Pond8_Type,RT
Pond8_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,17
Pond1_Type,RT
Pond1_#Fishes,17
Pond4_Type,RT
Pond4_#Fishes,17
Pond10_Type,RT
Pond10_#Fishes,17
Pond3_Type,RT
Pond3_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 06:49:33 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,8.973
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,0
Pond5Fish1_TimeLeft,1193.414
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.63
Pond5Fish2_PondTime,16.399
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,10
Pond5Fish2_TimeLeft,1185.988
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.55
