,5e14318a2fc478a3fba28d4c
PlayerDetails,5e14318a2fc478a3fba28d4c
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,16
Pond10_Type,RT
Pond10_#Fishes,19
Pond2_Type,RT
Pond2_#Fishes,12
Pond12_Type,RT
Pond12_#Fishes,14
Pond7_Type,RT
Pond7_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,15
Pond5_Type,RT
Pond5_#Fishes,18
Pond9_Type,RT
Pond9_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,18
Pond4_Type,RT
Pond4_#Fishes,14
Pond8_Type,RT
Pond8_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 08:34:46 GMT+0200 (Eastern European Standard Time)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.38
Pond6Fish1_PondTime,8.264
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1194.136
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.419
Pond6Fish2_PondTime,14.914
