,5e17612b76f4a105cd8996cd
PlayerDetails,5e17612b76f4a105cd8996cd
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,RT
Pond10_#Fishes,15
Pond7_Type,RT
Pond7_#Fishes,19
Pond2_Type,RT
Pond2_#Fishes,17
Pond5_Type,RT
Pond5_#Fishes,18
Pond3_Type,RT
Pond3_#Fishes,15
Pond4_Type,RT
Pond4_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,12
Pond9_Type,RT
Pond9_#Fishes,13
Pond8_Type,RT
Pond8_#Fishes,13
Pond6_Type,RT
Pond6_#Fishes,15
Pond12_Type,RT
Pond12_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,19
Pond7_Type,RT
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 10:42:08 GMT+0000 (Hora padrão da Europa Ocidental)
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.737
Pond10Fish1_PondTime,8.559
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,10
Pond10Fish1_TimeLeft,1193.84
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,0.551
Pond10Fish2_PondTime,15.537
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,20
Pond10Fish2_TimeLeft,1186.862
PondEnd_LastFish,2
FishN,15
Type,RT
GiveUpTime,0.634
PondTime,22.415
TimeLeft,1179.481
PondOutcome,20
TotalOutcome,20
PondStart,PondStart
PondIntroTime,16.260405513457954
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.562
Pond7Fish1_PondTime,7.613
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,40
Pond7Fish1_TimeLeft,1154.978
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.977
Pond7Fish2_PondTime,13.51
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,50
Pond7Fish2_TimeLeft,1149.081
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.656
Pond7Fish3_PondTime,19.625
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,60
Pond7Fish3_TimeLeft,1142.966
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,0.437
Pond7Fish4_PondTime,25.986
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,70
Pond7Fish4_TimeLeft,1136.605
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,0.449
Pond7Fish5_PondTime,32.635
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,80
Pond7Fish5_TimeLeft,1129.956
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,golden
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,0.411
Pond7Fish6_PondTime,39.613
Pond7Fish6_PondOutcome,80
Pond7Fish6_TotalOutcome,100
Pond7Fish6_TimeLeft,1122.978
PondEnd_LastFish,6
FishN,19
Type,RT
GiveUpTime,1.056
PondTime,46.912
TimeLeft,1115.177
PondOutcome,80
TotalOutcome,100
