,5e1d3588db62ba0bc9f2e39a
PlayerDetails,5e1d3588db62ba0bc9f2e39a
GameCompleted,declined
Selected ponds in the game,=======
Pond6_Type,RT
Pond6_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,15
Pond7_Type,RT
Pond7_#Fishes,12
Pond2_Type,RT
Pond2_#Fishes,19
Pond1_Type,RT
Pond1_#Fishes,15
Pond5_Type,RT
Pond5_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:30:55 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.208
Pond6Fish1_PondTime,7.597
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,10
Pond6Fish1_TimeLeft,1194.802
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.563
Pond6Fish2_PondTime,13.514
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,30
Pond6Fish2_TimeLeft,1188.885
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,golden
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.877
Pond6Fish3_PondTime,19.63
Pond6Fish3_PondOutcome,50
Pond6Fish3_TotalOutcome,50
Pond6Fish3_TimeLeft,1182.769
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.972
Pond6Fish4_PondTime,25.997
Pond6Fish4_PondOutcome,60
Pond6Fish4_TotalOutcome,60
Pond6Fish4_TimeLeft,1176.402
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,0.776
Pond6Fish5_PondTime,32.65
Pond6Fish5_PondOutcome,70
Pond6Fish5_TotalOutcome,70
Pond6Fish5_TimeLeft,1169.749
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.869
Pond6Fish6_PondTime,39.632
Pond6Fish6_PondOutcome,80
Pond6Fish6_TotalOutcome,80
Pond6Fish6_TimeLeft,1162.767
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,golden
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.033
Pond6Fish7_PondTime,47
Pond6Fish7_PondOutcome,100
Pond6Fish7_TotalOutcome,100
Pond6Fish7_TimeLeft,1155.399
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.1
Pond6Fish8_PondTime,54.819
Pond6Fish8_PondOutcome,110
Pond6Fish8_TotalOutcome,110
Pond6Fish8_TimeLeft,1147.58
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,0.837
Pond6Fish9_PondTime,63.186
Pond6Fish9_PondOutcome,120
Pond6Fish9_TotalOutcome,120
Pond6Fish9_TimeLeft,1139.213
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,0.752
Pond6Fish10_PondTime,72.219
Pond6Fish10_PondOutcome,130
Pond6Fish10_TotalOutcome,130
Pond6Fish10_TimeLeft,1130.18
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.12
Pond6Fish11_PondTime,82.088
Pond6Fish11_PondOutcome,140
Pond6Fish11_TotalOutcome,140
Pond6Fish11_TimeLeft,1120.311
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,0.972
Pond6Fish12_PondTime,93.02
Pond6Fish12_PondOutcome,150
Pond6Fish12_TotalOutcome,150
Pond6Fish12_TimeLeft,1109.379
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,1.648
PondTime,93.85
TimeLeft,1108.047
PondOutcome,150
TotalOutcome,150
PondStart,PondStart
PondIntroTime,10.181445453781635
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,0.674
Pond4Fish1_PondTime,8.552
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,160
Pond4Fish1_TimeLeft,1088.71
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.274
Pond4Fish2_PondTime,15.535
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,170
Pond4Fish2_TimeLeft,1081.727
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,0.903
Pond4Fish3_PondTime,22.903
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,180
Pond4Fish3_TimeLeft,1074.359
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.732
Pond4Fish4_PondTime,30.72
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,190
Pond4Fish4_TimeLeft,1066.542
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,0.813
Pond4Fish5_PondTime,39.089
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,200
Pond4Fish5_TimeLeft,1058.173
Type,RT
FishN,17
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.463
Pond4Fish6_PondTime,48.123
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,210
Pond4Fish6_TimeLeft,1049.139
Type,RT
FishN,17
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,0.923
Pond4Fish7_PondTime,57.99
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,220
Pond4Fish7_TimeLeft,1039.272
Type,RT
FishN,17
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.276
Pond4Fish8_PondTime,68.924
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,230
Pond4Fish8_TimeLeft,1028.337
PondEnd_LastFish,8
FishN,15
Type,RT
GiveUpTime,0.437
PondTime,80.91
TimeLeft,1015.85
PondOutcome,80
TotalOutcome,230
PondStart,PondStart
PondIntroTime,19.950181131716818
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.869
Pond7Fish1_PondTime,9.735
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,240
Pond7Fish1_TimeLeft,985.533
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.934
Pond7Fish2_PondTime,18.104
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,250
Pond7Fish2_TimeLeft,977.165
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.152
Pond7Fish3_PondTime,27.136
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,260
Pond7Fish3_TimeLeft,968.133
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.157
Pond7Fish4_PondTime,37.003
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,270
Pond7Fish4_TimeLeft,958.266
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.196
Pond7Fish5_PondTime,47.937
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,280
Pond7Fish5_TimeLeft,947.332
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.322
Pond7Fish6_PondTime,60.306
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,290
Pond7Fish6_TimeLeft,934.962
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,11.725
PondTime,71.563
TimeLeft,923.205
PondOutcome,60
TotalOutcome,290
PondStart,PondStart
PondIntroTime,15.735804552678019
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,2.063
Pond2Fish1_PondTime,7.667
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,300
Pond2Fish1_TimeLeft,899.179
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,13.601
Pond2Fish2_PondOutcome,10
Pond2Fish2_TotalOutcome,300
Pond2Fish2_TimeLeft,893.245
Type,RT
FishN,12
Fish,3
