,Demi
PlayerDetails,Demi
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,RT
Pond7_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,19
Pond8_Type,RT
Pond8_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Tue Jan 14 2020 22:20:56 GMT-0800 (Pacific Standard Time)
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.825
Pond7Fish1_PondTime,9.277
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,10
Pond7Fish1_TimeLeft,1193.121
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.836
Pond7Fish2_PondTime,17.096
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,20
Pond7Fish2_TimeLeft,1185.302
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.744
Pond7Fish3_PondTime,25.468
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,30
Pond7Fish3_TimeLeft,1176.93
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.817
Pond7Fish4_PondTime,34.506
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,40
Pond7Fish4_TimeLeft,1167.892
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.67
Pond7Fish5_PondTime,44.378
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,50
Pond7Fish5_TimeLeft,1158.02
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,1.26
Pond7Fish6_PondTime,55.317
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,60
Pond7Fish6_TimeLeft,1147.081
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,0.684
Pond7Fish7_PondTime,67.674
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,70
Pond7Fish7_TimeLeft,1134.723
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,golden
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,0.6
Pond7Fish8_PondTime,82.031
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,90
Pond7Fish8_TimeLeft,1120.367
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,12
Pond7Fish9_CatchTime,0.815
Pond7Fish9_PondTime,99.391
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,100
Pond7Fish9_TimeLeft,1103.007
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,15
Pond7Fish10_CatchTime,1.05
Pond7Fish10_PondTime,121.753
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,110
Pond7Fish10_TimeLeft,1080.645
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,20
Pond7Fish11_CatchTime,1.358
Pond7Fish11_PondTime,154.119
Pond7Fish11_PondOutcome,120
Pond7Fish11_TotalOutcome,120
Pond7Fish11_TimeLeft,1048.278
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,golden
Pond7Fish12_FishLatency,30
Pond7Fish12_CatchTime,1.569
Pond7Fish12_PondTime,216.488
Pond7Fish12_PondOutcome,140
Pond7Fish12_TotalOutcome,140
Pond7Fish12_TimeLeft,985.91
Type,RT
FishN,16
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,60
Pond7Fish13_CatchTime,0.642
Pond7Fish13_PondTime,218.857
Pond7Fish13_PondOutcome,150
Pond7Fish13_TotalOutcome,150
Pond7Fish13_TimeLeft,983.541
PondEnd_LastFish,13
FishN,13
Type,RT
GiveUpTime,394.356
PondTime,612.06
TimeLeft,589.832
PondOutcome,150
TotalOutcome,150
PondStart,PondStart
PondIntroTime,16.201681066304445
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,0.79
Pond10Fish1_PondTime,7.605
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,160
Pond10Fish1_TimeLeft,565.412
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,0.943
Pond10Fish2_PondTime,13.505
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,170
Pond10Fish2_TimeLeft,559.512
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,0.565
Pond10Fish3_PondTime,19.625
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,180
Pond10Fish3_TimeLeft,553.392
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,1.16
Pond10Fish4_PondTime,25.995
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,200
Pond10Fish4_TimeLeft,547.022
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,0.519
Pond10Fish5_PondTime,32.649
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,210
Pond10Fish5_TimeLeft,540.368
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,0.678
Pond10Fish6_PondTime,39.62
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,230
Pond10Fish6_TimeLeft,533.397
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,0.662
Pond10Fish7_PondTime,46.992
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,240
Pond10Fish7_TimeLeft,526.025
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.647
Pond10Fish8_PondTime,54.813
Pond10Fish8_PondOutcome,100
Pond10Fish8_TotalOutcome,250
Pond10Fish8_TimeLeft,518.204
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,0.566
Pond10Fish9_PondTime,63.183
Pond10Fish9_PondOutcome,110
Pond10Fish9_TotalOutcome,260
Pond10Fish9_TimeLeft,509.834
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.167
Pond10Fish10_PondTime,72.221
Pond10Fish10_PondOutcome,120
Pond10Fish10_TotalOutcome,270
Pond10Fish10_TimeLeft,500.796
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,golden
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,0.637
Pond10Fish11_PondTime,82.093
Pond10Fish11_PondOutcome,140
Pond10Fish11_TotalOutcome,290
Pond10Fish11_TimeLeft,490.924
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,0.825
Pond10Fish12_PondTime,93.031
Pond10Fish12_PondOutcome,150
Pond10Fish12_TotalOutcome,300
Pond10Fish12_TimeLeft,479.986
Type,RT
FishN,16
Fish,13
Pond10Fish13_FishType,golden
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,0.842
Pond10Fish13_PondTime,105.387
Pond10Fish13_PondOutcome,170
Pond10Fish13_TotalOutcome,320
Pond10Fish13_TimeLeft,467.63
Type,RT
FishN,16
Fish,14
Pond10Fish14_FishType,golden
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,0.742
Pond10Fish14_PondTime,119.744
Pond10Fish14_PondOutcome,190
Pond10Fish14_TotalOutcome,340
Pond10Fish14_TimeLeft,453.273
Type,RT
FishN,16
Fish,15
Pond10Fish15_FishType,purple
Pond10Fish15_FishLatency,12
Pond10Fish15_CatchTime,0.995
Pond10Fish15_PondTime,137.105
