,E
PlayerDetails,E
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RT
Pond5_#Fishes,19
Pond6_Type,RT
Pond6_#Fishes,12
Pond8_Type,RT
Pond8_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,13
Pond11_Type,RT
Pond11_#Fishes,12
Pond1_Type,RT
Pond1_#Fishes,15
Pond9_Type,RT
Pond9_#Fishes,17
Pond12_Type,RT
Pond12_#Fishes,16
Pond7_Type,RT
Pond7_#Fishes,13
Pond10_Type,RT
Pond10_#Fishes,12
Pond3_Type,RT
Pond3_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 09:40:38 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.975
Pond5Fish1_PondTime,7.628
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,10
Pond5Fish1_TimeLeft,1194.769
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.775
Pond5Fish2_PondTime,13.528
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,20
Pond5Fish2_TimeLeft,1188.87
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,19.73
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,20
Pond5Fish3_TimeLeft,1182.667
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.871
Pond5Fish4_PondTime,26.117
Pond5Fish4_PondOutcome,30
Pond5Fish4_TotalOutcome,30
Pond5Fish4_TimeLeft,1176.281
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.758
Pond5Fish5_PondTime,32.774
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,40
Pond5Fish5_TimeLeft,1169.624
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.768
Pond5Fish6_PondTime,39.767
Pond5Fish6_PondOutcome,50
Pond5Fish6_TotalOutcome,50
Pond5Fish6_TimeLeft,1162.631
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.793
Pond5Fish7_PondTime,47.149
Pond5Fish7_PondOutcome,60
Pond5Fish7_TotalOutcome,60
Pond5Fish7_TimeLeft,1155.249
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.643
Pond5Fish8_PondTime,54.965
Pond5Fish8_PondOutcome,70
Pond5Fish8_TotalOutcome,70
Pond5Fish8_TimeLeft,1147.433
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.89
Pond5Fish9_PondTime,63.342
Pond5Fish9_PondOutcome,80
Pond5Fish9_TotalOutcome,80
Pond5Fish9_TimeLeft,1139.056
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,golden
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.825
Pond5Fish10_PondTime,72.386
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,100
Pond5Fish10_TimeLeft,1130.012
Type,RT
FishN,18
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.858
Pond5Fish11_PondTime,82.267
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,110
Pond5Fish11_TimeLeft,1120.13
Type,RT
FishN,18
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,0.716
Pond5Fish12_PondTime,93.223
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,120
Pond5Fish12_TimeLeft,1109.175
Type,RT
FishN,18
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,0.846
Pond5Fish13_PondTime,105.599
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,130
Pond5Fish13_TimeLeft,1096.799
Type,RT
FishN,18
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,0.96
Pond5Fish14_PondTime,119.977
Pond5Fish14_PondOutcome,140
Pond5Fish14_TotalOutcome,140
Pond5Fish14_TimeLeft,1082.42
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,3.217
PondTime,122.357
TimeLeft,1079.536
PondOutcome,140
TotalOutcome,140
PondStart,PondStart
PondIntroTime,13.40230847010389
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.824
Pond6Fish1_PondTime,9.735
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,150
Pond6Fish1_TimeLeft,1055.749
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.982
Pond6Fish2_PondTime,18.113
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,160
Pond6Fish2_TimeLeft,1047.372
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,golden
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,0.88
Pond6Fish3_PondTime,27.143
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,180
Pond6Fish3_TimeLeft,1038.342
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.872
Pond6Fish4_PondTime,37.025
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,190
Pond6Fish4_TimeLeft,1028.46
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.546
Pond6Fish5_PondTime,47.966
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,200
Pond6Fish5_TimeLeft,1017.519
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.832
Pond6Fish6_PondTime,60.346
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,210
Pond6Fish6_TimeLeft,1005.139
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.773
Pond6Fish7_PondTime,74.726
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,220
Pond6Fish7_TimeLeft,990.759
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.223
Pond6Fish8_PondTime,92.091
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,230
Pond6Fish8_TimeLeft,973.394
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,0.731
PondTime,92.248
TimeLeft,972.734
PondOutcome,90
TotalOutcome,230
PondStart,PondStart
PondIntroTime,12.743176405783743
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,0.907
Pond8Fish1_PondTime,8.283
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,240
Pond8Fish1_TimeLeft,951.064
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.786
Pond8Fish2_PondTime,14.942
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,250
Pond8Fish2_TimeLeft,944.405
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.874
Pond8Fish3_PondTime,21.922
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,260
Pond8Fish3_TimeLeft,937.425
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,golden
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,0.772
Pond8Fish4_PondTime,29.287
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,280
Pond8Fish4_TimeLeft,930.06
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.767
Pond8Fish5_PondTime,37.114
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,290
Pond8Fish5_TimeLeft,922.233
PondEnd_LastFish,5
FishN,16
Type,RT
GiveUpTime,6.574
PondTime,42.664
TimeLeft,916.181
PondOutcome,60
TotalOutcome,290
PondStart,PondStart
PondIntroTime,12.231599835213274
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.59
Pond4Fish1_PondTime,9.294
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,300
Pond4Fish1_TimeLeft,894
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.75
Pond4Fish2_PondTime,17.125
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,310
Pond4Fish2_TimeLeft,886.169
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.713
Pond4Fish3_PondTime,25.507
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,320
