,aubrey
PlayerDetails,aubrey
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,RT
Pond5_#Fishes,13
Pond1_Type,RT
Pond1_#Fishes,16
Pond8_Type,RT
Pond8_#Fishes,18
Pond11_Type,RT
Pond11_#Fishes,12
Pond7_Type,RT
Pond7_#Fishes,16
Pond3_Type,RT
Pond3_#Fishes,16
Pond12_Type,RT
Pond12_#Fishes,12
Pond4_Type,RT
Pond4_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Wed Jan 15 2020 16:05:26 GMT+0900 (Korean Standard Time)
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.174
Pond5Fish1_PondTime,9.333
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,10
Pond5Fish1_TimeLeft,1193.062
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.074
Pond5Fish2_PondTime,17.167
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,20
Pond5Fish2_TimeLeft,1185.229
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.937
Pond5Fish3_PondTime,25.534
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,30
Pond5Fish3_TimeLeft,1176.861
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.445
Pond5Fish4_PondTime,34.575
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,40
Pond5Fish4_TimeLeft,1167.821
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.877
Pond5Fish5_PondTime,44.47
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,50
Pond5Fish5_TimeLeft,1157.926
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.857
Pond5Fish6_PondTime,55.401
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,60
Pond5Fish6_TimeLeft,1146.995
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.162
Pond5Fish7_PondTime,67.769
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,70
Pond5Fish7_TimeLeft,1134.627
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.071
Pond5Fish8_PondTime,82.146
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,80
Pond5Fish8_TimeLeft,1120.25
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.383
Pond5Fish9_PondTime,99.542
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,90
Pond5Fish9_TimeLeft,1102.854
Type,RT
FishN,18
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.223
Pond5Fish10_PondTime,121.908
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,100
Pond5Fish10_TimeLeft,1080.488
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,0.861
PondTime,122.198
TimeLeft,1079.692
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,14.443151208106428
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,golden
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.073
Pond1Fish1_PondTime,8.283
Pond1Fish1_PondOutcome,20
Pond1Fish1_TotalOutcome,120
Pond1Fish1_TimeLeft,1056.336
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.143
Pond1Fish2_PondTime,14.961
Pond1Fish2_PondOutcome,30
Pond1Fish2_TotalOutcome,130
Pond1Fish2_TimeLeft,1049.658
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,golden
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.9
Pond1Fish3_PondTime,21.956
Pond1Fish3_PondOutcome,50
Pond1Fish3_TotalOutcome,150
Pond1Fish3_TimeLeft,1042.663
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.342
Pond1Fish4_PondTime,29.337
Pond1Fish4_PondOutcome,60
Pond1Fish4_TotalOutcome,160
Pond1Fish4_TimeLeft,1035.281
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.361
Pond1Fish5_PondTime,37.157
Pond1Fish5_PondOutcome,70
Pond1Fish5_TotalOutcome,170
Pond1Fish5_TimeLeft,1027.462
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.203
Pond1Fish6_PondTime,45.526
Pond1Fish6_PondOutcome,80
Pond1Fish6_TotalOutcome,180
Pond1Fish6_TimeLeft,1019.093
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.102
Pond1Fish7_PondTime,54.56
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,190
Pond1Fish7_TimeLeft,1010.059
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,1.178
Pond1Fish8_PondTime,64.423
Pond1Fish8_PondOutcome,100
Pond1Fish8_TotalOutcome,200
Pond1Fish8_TimeLeft,1000.196
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.368
Pond1Fish9_PondTime,75.367
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,210
Pond1Fish9_TimeLeft,989.252
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,1.037
Pond1Fish10_PondTime,87.738
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,220
Pond1Fish10_TimeLeft,976.88
Type,RT
FishN,13
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,1.004
Pond1Fish11_PondTime,102.116
Pond1Fish11_PondOutcome,130
Pond1Fish11_TotalOutcome,230
Pond1Fish11_TimeLeft,962.503
Type,RT
FishN,13
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,12
Pond1Fish12_CatchTime,1.023
Pond1Fish12_PondTime,119.509
Pond1Fish12_PondOutcome,140
Pond1Fish12_TotalOutcome,240
Pond1Fish12_TimeLeft,945.11
Type,RT
FishN,13
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,15
Pond1Fish13_CatchTime,1.294
Pond1Fish13_PondTime,141.886
Pond1Fish13_PondOutcome,150
Pond1Fish13_TotalOutcome,250
Pond1Fish13_TimeLeft,922.733
PondEnd_LastFish,13
FishN,16
Type,RT
GiveUpTime,30.446
PondTime,171.834
TimeLeft,892.274
PondOutcome,150
TotalOutcome,250
PondStart,PondStart
PondIntroTime,16.956204667221755
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.09
Pond8Fish1_PondTime,7.822
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,260
Pond8Fish1_TimeLeft,866.863
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,0.884
Pond8Fish2_PondTime,13.965
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,270
Pond8Fish2_TimeLeft,860.719
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.068
Pond8Fish3_PondTime,20.347
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,280
Pond8Fish3_TimeLeft,854.337
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.751
Pond8Fish4_PondTime,27.065
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,290
Pond8Fish4_TimeLeft,847.62
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.142
Pond8Fish5_PondTime,34.047
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,300
Pond8Fish5_TimeLeft,840.638
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.742
Pond8Fish6_PondTime,41.479
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,310
Pond8Fish6_TimeLeft,833.206
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.112
Pond8Fish7_PondTime,49.3
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,320
Pond8Fish7_TimeLeft,825.384
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.749
Pond8Fish8_PondTime,57.665
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,330
Pond8Fish8_TimeLeft,817.02
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,0.876
Pond8Fish9_PondTime,66.711
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,340
Pond8Fish9_TimeLeft,807.974
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.018
Pond8Fish10_PondTime,76.598
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,350
Pond8Fish10_TimeLeft,798.087
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.184
Pond8Fish11_PondTime,87.554
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,360
Pond8Fish11_TimeLeft,787.131
Type,RT
FishN,13
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,1.007
Pond8Fish12_PondTime,99.927
Pond8Fish12_PondOutcome,120
Pond8Fish12_TotalOutcome,370
Pond8Fish12_TimeLeft,774.758
Type,RT
FishN,13
Fish,13
Pond8Fish13_FishType,purple
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,0.966
Pond8Fish13_PondTime,114.292
Pond8Fish13_PondOutcome,130
Pond8Fish13_TotalOutcome,380
Pond8Fish13_TimeLeft,760.392
Type,RT
FishN,13
Fish,14
Pond8Fish14_FishType,purple
Pond8Fish14_FishLatency,12
Pond8Fish14_CatchTime,0.98
Pond8Fish14_PondTime,131.669
Pond8Fish14_PondOutcome,140
Pond8Fish14_TotalOutcome,390
Pond8Fish14_TimeLeft,743.016
Type,RT
FishN,13
Fish,15
Pond8Fish15_FishType,purple
Pond8Fish15_FishLatency,15
Pond8Fish15_CatchTime,1.095
Pond8Fish15_PondTime,154.05
Pond8Fish15_PondOutcome,150
Pond8Fish15_TotalOutcome,400
Pond8Fish15_TimeLeft,720.635
PondEnd_LastFish,15
FishN,18
Type,RT
GiveUpTime,1.193
PondTime,154.546
TimeLeft,719.631
PondOutcome,150
TotalOutcome,400
PondStart,PondStart
PondIntroTime,15.304229047615081
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.132
Pond11Fish1_PondTime,9.738
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,410
Pond11Fish1_TimeLeft,693.973
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.831
Pond11Fish2_PondTime,18.106
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,420
Pond11Fish2_TimeLeft,685.605
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.075
Pond11Fish3_PondTime,27.143
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,430
Pond11Fish3_TimeLeft,676.568
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.152
Pond11Fish4_PondTime,37.016
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,440
Pond11Fish4_TimeLeft,666.694
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,golden
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.734
Pond11Fish5_PondTime,47.963
Pond11Fish5_PondOutcome,60
