,5bfecff80ef0390001387cc2
PlayerDetails,5bfecff80ef0390001387cc2
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,N
Pond11_#Fishes,15
Pond3_Type,N
Pond3_#Fishes,18
Pond6_Type,N
Pond6_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 12:47:12 GMT-0600 (hora estándar central)
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.098
Pond11Fish1_PondTime,8.555
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,11
Pond11Fish1_TimeLeft,1193.843
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.161
Pond11Fish2_PondTime,15.544
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,22
Pond11Fish2_TimeLeft,1186.854
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.164
Pond11Fish3_PondTime,22.923
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,33
Pond11Fish3_TimeLeft,1179.474
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.554
Pond11Fish4_PondTime,30.746
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,44
Pond11Fish4_TimeLeft,1171.652
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.22
Pond11Fish5_PondTime,39.123
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,55
Pond11Fish5_TimeLeft,1163.274
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,1.22
Pond11Fish6_PondTime,48.169
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,66
Pond11Fish6_TimeLeft,1154.229
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.21
Pond11Fish7_PondTime,58.043
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,77
Pond11Fish7_TimeLeft,1144.355
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.075
Pond11Fish8_PondTime,68.987
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,88
Pond11Fish8_TimeLeft,1133.411
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.099
Pond11Fish9_PondTime,81.36
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,99
Pond11Fish9_TimeLeft,1121.038
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,1.071
Pond11Fish10_PondTime,95.726
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,110
Pond11Fish10_TimeLeft,1106.672
Type,N
FishN,16
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,12
Pond11Fish11_CatchTime,1.232
Pond11Fish11_PondTime,113.106
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,121
Pond11Fish11_TimeLeft,1089.292
Type,N
FishN,16
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,15
Pond11Fish12_CatchTime,1.585
Pond11Fish12_PondTime,135.472
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,132
Pond11Fish12_TimeLeft,1066.926
Type,N
FishN,16
Fish,13
Pond11Fish13_FishType,green
