,5c07f9ce7ce1dd0001a4efec
PlayerDetails,5c07f9ce7ce1dd0001a4efec
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,14
Pond10_Type,N
Pond10_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,13
Pond7_Type,N
Pond7_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,18
Pond3_Type,N
Pond3_#Fishes,18
Pond2_Type,N
Pond2_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:39:36 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.738
Pond9Fish1_PondTime,7.591
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1194.807
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.732
Pond9Fish2_PondTime,13.486
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1188.913
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.046
Pond9Fish3_PondTime,19.595
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1182.804
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.893
Pond9Fish4_PondTime,25.956
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1176.443
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.776
Pond9Fish5_PondTime,32.604
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
