,5c1522f64c29140001cdad7e
PlayerDetails,5c1522f64c29140001cdad7e
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,N
Pond2_#Fishes,14
Pond4_Type,N
Pond4_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,13
Pond10_Type,N
Pond10_#Fishes,18
Pond3_Type,N
Pond3_#Fishes,17
Pond6_Type,N
Pond6_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,18
Pond5_Type,N
Pond5_#Fishes,16
Pond11_Type,N
Pond11_#Fishes,17
Pond8_Type,N
Pond8_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:26:19 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.212
Pond2Fish1_PondTime,8.88
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,11
Pond2Fish1_TimeLeft,1193.508
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.031
Pond2Fish2_PondTime,16.244
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,22
Pond2Fish2_TimeLeft,1186.144
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.475
Pond2Fish3_PondTime,24.06
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,33
Pond2Fish3_TimeLeft,1178.328
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.157
Pond2Fish4_PondTime,32.421
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,44
Pond2Fish4_TimeLeft,1169.967
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.926
Pond2Fish5_PondTime,41.452
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,55
Pond2Fish5_TimeLeft,1160.936
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.613
Pond2Fish6_PondTime,51.319
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,66
Pond2Fish6_TimeLeft,1151.069
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,7.5
