,5c1add5a3b09a900014c74e5
PlayerDetails,5c1add5a3b09a900014c74e5
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,N
Pond4_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,14
Pond8_Type,N
Pond8_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,15
Pond10_Type,N
Pond10_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 11:17:01 GMT-0600 (hora estándar central)
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.294
Pond4Fish1_PondTime,7.639
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1194.758
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,1.089
Pond4Fish2_PondTime,13.539
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,22
Pond4Fish2_TimeLeft,1188.859
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.075
Pond4Fish3_PondTime,19.655
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,33
Pond4Fish3_TimeLeft,1182.743
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.074
Pond4Fish4_PondTime,26.022
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,44
Pond4Fish4_TimeLeft,1176.376
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.009
Pond4Fish5_PondTime,32.687
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,55
Pond4Fish5_TimeLeft,1169.711
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.195
Pond4Fish6_PondTime,39.672
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,66
Pond4Fish6_TimeLeft,1162.726
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.839
Pond4Fish7_PondTime,47.053
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,77
Pond4Fish7_TimeLeft,1155.345
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,1.331
