,5c334030dd74dc0001e46725
PlayerDetails,5c334030dd74dc0001e46725
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,16
Pond3_Type,N
Pond3_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,13
Pond12_Type,N
Pond12_#Fishes,12
Pond1_Type,N
Pond1_#Fishes,15
Pond8_Type,N
Pond8_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,16
Pond6_Type,N
Pond6_#Fishes,18
Pond11_Type,N
Pond11_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:30:23 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,0.772
Pond9Fish1_PondTime,8.928
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1193.47
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.214
Pond9Fish2_PondTime,16.311
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1186.087
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.591
Pond9Fish3_PondTime,24.138
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1178.26
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.313
Pond9Fish4_PondTime,32.521
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1169.877
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.297
Pond9Fish5_PondTime,41.555
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
Pond9Fish5_TimeLeft,1160.843
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.754
Pond9Fish6_PondTime,51.485
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,66
Pond9Fish6_TimeLeft,1150.913
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.143
Pond9Fish7_PondTime,62.419
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,77
Pond9Fish7_TimeLeft,1139.979
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.343
Pond9Fish8_PondTime,74.806
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,88
Pond9Fish8_TimeLeft,1127.592
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.299
Pond9Fish9_PondTime,89.188
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,99
Pond9Fish9_TimeLeft,1113.21
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,1.438
Pond9Fish10_PondTime,106.548
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,110
Pond9Fish10_TimeLeft,1095.85
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,15
Pond9Fish11_CatchTime,1.629
