,5c33821f6f160f00013489cb
PlayerDetails,5c33821f6f160f00013489cb
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,N
Pond3_#Fishes,17
Pond10_Type,N
Pond10_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,12
Pond1_Type,N
Pond1_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 11:24:53 GMT-0600 (Central Standard Time)
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.368
Pond3Fish1_PondTime,8.055
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,11
Pond3Fish1_TimeLeft,1194.341
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.249
Pond3Fish2_PondTime,14.436
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,22
Pond3Fish2_TimeLeft,1187.96
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.072
Pond3Fish3_PondTime,21.102
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,33
Pond3Fish3_TimeLeft,1181.294
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.393
Pond3Fish4_PondTime,28.084
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,44
Pond3Fish4_TimeLeft,1174.312
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.895
Pond3Fish5_PondTime,35.471
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,55
Pond3Fish5_TimeLeft,1166.925
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.472
Pond3Fish6_PondTime,43.334
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,66
Pond3Fish6_TimeLeft,1159.062
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.384
Pond3Fish7_PondTime,51.7
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,77
Pond3Fish7_TimeLeft,1150.696
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,1.143
Pond3Fish8_PondTime,60.735
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,88
Pond3Fish8_TimeLeft,1141.66
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.12
Pond3Fish9_PondTime,70.606
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,99
Pond3Fish9_TimeLeft,1131.79
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.003
Pond3Fish10_PondTime,81.555
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,110
Pond3Fish10_TimeLeft,1120.841
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.032
Pond3Fish11_PondTime,93.942
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,121
Pond3Fish11_TimeLeft,1108.454
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,1.118
Pond3Fish12_PondTime,108.322
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,132
Pond3Fish12_TimeLeft,1094.074
Type,N
FishN,18
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,12
Pond3Fish13_CatchTime,1.378
Pond3Fish13_PondTime,125.695
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,143
Pond3Fish13_TimeLeft,1076.701
Type,N
FishN,18
Fish,14
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,15
Pond3Fish14_CatchTime,1.536
Pond3Fish14_PondTime,148.074
