,5c890051146e370019e07384
PlayerDetails,5c890051146e370019e07384
GameCompleted,declined
Selected ponds in the game,=======
Pond1_Type,N
Pond1_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,15
Pond3_Type,N
Pond3_#Fishes,17
Pond4_Type,N
Pond4_#Fishes,13
Pond9_Type,N
Pond9_#Fishes,15
Pond10_Type,N
Pond10_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,18
Pond8_Type,N
Pond8_#Fishes,13
Pond11_Type,N
Pond11_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:27:17 GMT+0000 (GMT)
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.091
Pond1Fish1_PondTime,8.266
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,11
Pond1Fish1_TimeLeft,1194.132
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.072
Pond1Fish2_PondTime,14.96
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,22
Pond1Fish2_TimeLeft,1187.439
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.939
Pond1Fish3_PondTime,21.936
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,33
Pond1Fish3_TimeLeft,1180.463
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.379
Pond1Fish4_PondTime,29.302
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,44
Pond1Fish4_TimeLeft,1173.097
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.167
Pond1Fish5_PondTime,37.129
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,55
Pond1Fish5_TimeLeft,1165.27
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.071
Pond1Fish6_PondTime,45.501
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,66
Pond1Fish6_TimeLeft,1156.898
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.462
Pond1Fish7_PondTime,54.544
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,77
Pond1Fish7_TimeLeft,1147.855
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,1.339
Pond1Fish8_PondTime,64.417
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,88
Pond1Fish8_TimeLeft,1137.982
PondEnd_LastFish,8
FishN,16
Type,N
GiveUpTime,1.651
PondTime,65.617
TimeLeft,1136.277
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,17.483628513291478
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.282
Pond5Fish1_PondTime,8.576
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,99
Pond5Fish1_TimeLeft,1109.581
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.055
Pond5Fish2_PondTime,15.556
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,110
Pond5Fish2_TimeLeft,1102.601
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.197
Pond5Fish3_PondTime,22.931
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,121
Pond5Fish3_TimeLeft,1095.226
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.142
Pond5Fish4_PondTime,30.761
