,5ca5153892dc750016e7bb35
PlayerDetails,5ca5153892dc750016e7bb35
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,14
Pond6_Type,N
Pond6_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,17
Pond2_Type,N
Pond2_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:15:28 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,9.114
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,0
Pond5Fish1_TimeLeft,1193.272
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,16.548
Pond5Fish2_PondOutcome,0
Pond5Fish2_TotalOutcome,0
Pond5Fish2_TimeLeft,1185.839
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,24.49
Pond5Fish3_PondOutcome,0
Pond5Fish3_TotalOutcome,0
Pond5Fish3_TimeLeft,1177.897
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,-1
Pond5Fish4_PondTime,33
Pond5Fish4_PondOutcome,0
Pond5Fish4_TotalOutcome,0
Pond5Fish4_TimeLeft,1169.387
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.895
Pond5Fish5_PondTime,42.034
Pond5Fish5_PondOutcome,11
Pond5Fish5_TotalOutcome,11
Pond5Fish5_TimeLeft,1160.352
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.873
Pond5Fish6_PondTime,51.923
Pond5Fish6_PondOutcome,22
Pond5Fish6_TotalOutcome,22
Pond5Fish6_TimeLeft,1150.464
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.948
Pond5Fish7_PondTime,62.867
Pond5Fish7_PondOutcome,33
Pond5Fish7_TotalOutcome,33
Pond5Fish7_TimeLeft,1139.52
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.382
Pond5Fish8_PondTime,75.239
Pond5Fish8_PondOutcome,44
Pond5Fish8_TotalOutcome,44
Pond5Fish8_TimeLeft,1127.148
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,0.513
Pond5Fish9_PondTime,89.623
Pond5Fish9_PondOutcome,55
Pond5Fish9_TotalOutcome,55
Pond5Fish9_TimeLeft,1112.764
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,0.926
PondTime,106.944
TimeLeft,1094.925
PondOutcome,55
TotalOutcome,55
PondStart,PondStart
PondIntroTime,13.73280703322962
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.14
Pond7Fish1_PondTime,8.925
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,66
Pond7Fish1_TimeLeft,1071.586
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.666
Pond7Fish2_PondTime,16.303
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,77
Pond7Fish2_TimeLeft,1064.207
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.976
Pond7Fish3_PondTime,24.118
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,88
Pond7Fish3_TimeLeft,1056.393
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.622
Pond7Fish4_PondTime,32.48
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,99
Pond7Fish4_TimeLeft,1048.031
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.871
Pond7Fish5_PondTime,41.508
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,110
Pond7Fish5_TimeLeft,1039.002
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.709
Pond7Fish6_PondTime,51.37
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,121
Pond7Fish6_TimeLeft,1029.141
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,0.759
Pond7Fish7_PondTime,62.33
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,132
Pond7Fish7_TimeLeft,1018.181
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.76
Pond7Fish8_PondTime,74.707
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,143
Pond7Fish8_TimeLeft,1005.804
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.915
Pond7Fish9_PondTime,89.077
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,154
Pond7Fish9_TimeLeft,991.434
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,0.752
Pond7Fish10_PondTime,106.444
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,165
Pond7Fish10_TimeLeft,974.067
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,15
Pond7Fish11_CatchTime,0.93
Pond7Fish11_PondTime,128.822
Pond7Fish11_PondOutcome,121
