,5ccffd21b09ec90001f3f92e
PlayerDetails,5ccffd21b09ec90001f3f92e
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,N
Pond10_#Fishes,17
Pond2_Type,N
Pond2_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,17
Pond11_Type,N
Pond11_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,12
Pond4_Type,N
Pond4_#Fishes,13
Pond9_Type,N
Pond9_#Fishes,18
Pond8_Type,N
Pond8_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,16
Pond3_Type,N
Pond3_#Fishes,15
Pond5_Type,N
Pond5_#Fishes,15
Pond10_Type,N
Pond10_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:26:08 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.928
Pond10Fish1_PondTime,8.078
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1194.32
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.26
Pond10Fish2_PondTime,14.456
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1187.943
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.019
Pond10Fish3_PondTime,21.108
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1181.29
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.205
Pond10Fish4_PondTime,28.096
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1174.302
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.326
Pond10Fish5_PondTime,35.462
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1166.936
PondEnd_LastFish,5
FishN,17
Type,N
GiveUpTime,3.039
PondTime,38.031
TimeLeft,1163.862
PondOutcome,55
TotalOutcome,55
PondStart,PondStart
PondIntroTime,18.902322326321155
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.285
Pond2Fish1_PondTime,8.959
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,66
Pond2Fish1_TimeLeft,1135.371
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.626
Pond2Fish2_PondTime,16.395
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,77
Pond2Fish2_TimeLeft,1127.935
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.009
Pond2Fish3_PondTime,24.267
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,88
Pond2Fish3_TimeLeft,1120.063
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,1.067
Pond2Fish4_PondTime,32.734
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,99
Pond2Fish4_TimeLeft,1111.596
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.163
Pond2Fish5_PondTime,41.835
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,110
Pond2Fish5_TimeLeft,1102.494
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.225
Pond2Fish6_PondTime,51.757
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,121
Pond2Fish6_TimeLeft,1092.573
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,1.391
Pond2Fish7_PondTime,62.736
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,132
Pond2Fish7_TimeLeft,1081.594
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,8.453
PondTime,70.785
