,5cd323f554644f00188d3f86
PlayerDetails,5cd323f554644f00188d3f86
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,N
Pond9_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,12
Pond1_Type,N
Pond1_#Fishes,18
Pond6_Type,N
Pond6_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,19
Pond5_Type,N
Pond5_#Fishes,14
Pond3_Type,N
Pond3_#Fishes,12
Pond11_Type,N
Pond11_#Fishes,16
Pond7_Type,N
Pond7_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:23:45 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.465
Pond9Fish1_PondTime,8.956
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1193.417
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.527
Pond9Fish2_PondTime,16.322
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1186.052
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.348
Pond9Fish3_PondTime,24.15
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1178.223
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,-1
Pond9Fish4_PondTime,32.567
Pond9Fish4_PondOutcome,33
Pond9Fish4_TotalOutcome,33
Pond9Fish4_TimeLeft,1169.806
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.472
Pond9Fish5_PondTime,41.609
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,44
Pond9Fish5_TimeLeft,1160.765
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.712
Pond9Fish6_PondTime,51.483
Pond9Fish6_PondOutcome,55
Pond9Fish6_TotalOutcome,55
Pond9Fish6_TimeLeft,1150.891
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.27
Pond9Fish7_PondTime,62.427
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,66
Pond9Fish7_TimeLeft,1139.946
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,10.95
PondTime,72.856
TimeLeft,1129.012
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,18.729755231179297
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.539
Pond2Fish1_PondTime,9.723
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,77
Pond2Fish1_TimeLeft,1099.934
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.167
Pond2Fish2_PondTime,18.081
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,88
Pond2Fish2_TimeLeft,1091.576
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.576
Pond2Fish3_PondTime,27.108
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,99
Pond2Fish3_TimeLeft,1082.549
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.289
Pond2Fish4_PondTime,36.981
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,110
Pond2Fish4_TimeLeft,1072.676
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.294
Pond2Fish5_PondTime,47.922
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,121
