,5ce787a02ba98d000149f18c
PlayerDetails,5ce787a02ba98d000149f18c
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,N
Pond12_#Fishes,15
Pond6_Type,N
Pond6_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,14
Pond5_Type,N
Pond5_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,14
Pond1_Type,N
Pond1_#Fishes,18
Pond10_Type,N
Pond10_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,15
Pond7_Type,N
Pond7_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,14
Pond8_Type,N
Pond8_#Fishes,17
Pond9_Type,N
Pond9_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 09:48:47 GMT-0800 (Pacific Standard Time)
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.585
Pond12Fish1_PondTime,8.672
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,11
Pond12Fish1_TimeLeft,1193.723
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.5
Pond12Fish2_PondTime,15.708
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,22
Pond12Fish2_TimeLeft,1186.688
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.242
Pond12Fish3_PondTime,23.093
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,33
Pond12Fish3_TimeLeft,1179.303
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.287
Pond12Fish4_PondTime,31.001
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,44
Pond12Fish4_TimeLeft,1171.395
PondEnd_LastFish,4
FishN,15
Type,N
GiveUpTime,1.255
PondTime,31.753
TimeLeft,1170.137
PondOutcome,44
TotalOutcome,44
PondStart,PondStart
PondIntroTime,18.62022812711075
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.371
Pond6Fish1_PondTime,8.073
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,55
Pond6Fish1_TimeLeft,1142.817
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.169
Pond6Fish2_PondTime,14.435
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,66
Pond6Fish2_TimeLeft,1136.454
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.394
Pond6Fish3_PondTime,21.082
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,77
Pond6Fish3_TimeLeft,1129.807
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.274
Pond6Fish4_PondTime,28.097
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,88
Pond6Fish4_TimeLeft,1122.793
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.32
Pond6Fish5_PondTime,35.481
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,99
Pond6Fish5_TimeLeft,1115.409
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.326
Pond6Fish6_PondTime,43.317
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,110
Pond6Fish6_TimeLeft,1107.573
PondEnd_LastFish,6
FishN,17
Type,N
GiveUpTime,1.071
PondTime,43.911
TimeLeft,1106.467
PondOutcome,66
TotalOutcome,110
PondStart,PondStart
PondIntroTime,17.668130481615663
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.327
Pond3Fish1_PondTime,8.908
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,121
Pond3Fish1_TimeLeft,1079.246
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.551
Pond3Fish2_PondTime,16.281
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,132
Pond3Fish2_TimeLeft,1071.873
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.369
Pond3Fish3_PondTime,24.116
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,143
Pond3Fish3_TimeLeft,1064.038
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.65
Pond3Fish4_PondTime,32.53
