,5d1b2b80f18c6c00017deee4
PlayerDetails,5d1b2b80f18c6c00017deee4
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,N
Pond8_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,15
Pond1_Type,N
Pond1_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,12
Pond10_Type,N
Pond10_#Fishes,15
Pond2_Type,N
Pond2_#Fishes,16
Pond3_Type,N
Pond3_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,13
Pond12_Type,N
Pond12_#Fishes,18
Pond6_Type,N
Pond6_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:57:49 GMT+0100 (Central European Standard Time)
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.307
Pond8Fish1_PondTime,9.276
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,11
Pond8Fish1_TimeLeft,1193.123
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.172
Pond8Fish2_PondTime,17.098
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,22
Pond8Fish2_TimeLeft,1185.301
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.638
Pond8Fish3_PondTime,25.471
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,33
Pond8Fish3_TimeLeft,1176.928
PondEnd_LastFish,3
FishN,13
Type,N
GiveUpTime,2.362
PondTime,27.666
TimeLeft,1174.231
PondOutcome,33
TotalOutcome,33
PondStart,PondStart
PondIntroTime,16.89380554948002
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.007
Pond4Fish1_PondTime,7.606
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,44
Pond4Fish1_TimeLeft,1149.099
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
