,5d3f2ac26a5b1e0016a91a82
PlayerDetails,5d3f2ac26a5b1e0016a91a82
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,N
Pond1_#Fishes,17
Pond12_Type,N
Pond12_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,15
Pond2_Type,N
Pond2_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,15
Pond9_Type,N
Pond9_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,14
Pond5_Type,N
Pond5_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,16
Pond3_Type,N
Pond3_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:25:50 GMT+0100 (Central European Standard Time)
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.5294117647058822
Pond1Fish1_CatchTime,1.221
Pond1Fish1_PondTime,8.054
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,11
Pond1Fish1_TimeLeft,1194.344
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.581
Pond1Fish2_PondTime,14.455
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,22
Pond1Fish2_TimeLeft,1187.943
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.678
Pond1Fish3_PondTime,21.132
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,33
Pond1Fish3_TimeLeft,1181.266
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.649
Pond1Fish4_PondTime,28.14
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,44
Pond1Fish4_TimeLeft,1174.259
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.689
Pond1Fish5_PondTime,35.535
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,55
Pond1Fish5_TimeLeft,1166.863
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
