,5d3f63257e89a9000196f790
PlayerDetails,5d3f63257e89a9000196f790
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,14
Pond8_Type,N
Pond8_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,18
Pond10_Type,N
Pond10_#Fishes,14
Pond1_Type,N
Pond1_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,18
Pond2_Type,N
Pond2_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,13
Pond12_Type,N
Pond12_#Fishes,15
Pond6_Type,N
Pond6_#Fishes,12
Pond12_Type,N
Pond12_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 19:48:55 GMT+0100 (Ora standard dell’Europa centrale)
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,8.957
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,0
Pond5Fish1_TimeLeft,1193.442
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.055
Pond5Fish2_PondTime,16.325
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,11
Pond5Fish2_TimeLeft,1186.074
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.784
Pond5Fish3_PondTime,24.14
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,22
Pond5Fish3_TimeLeft,1178.258
PondEnd_LastFish,3
FishN,14
Type,N
GiveUpTime,0.561
PondTime,31.95
TimeLeft,1169.947
PondOutcome,22
TotalOutcome,22
PondStart,PondStart
PondIntroTime,16.957079793792218
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,0.867
Pond8Fish1_PondTime,8.032
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,33
Pond8Fish1_TimeLeft,1144.343
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,0.749
Pond8Fish2_PondTime,14.4
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,44
Pond8Fish2_TimeLeft,1137.975
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,0.746
Pond8Fish3_PondTime,21.048
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,55
Pond8Fish3_TimeLeft,1131.327
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,0.564
Pond8Fish4_PondTime,28.031
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,66
Pond8Fish4_TimeLeft,1124.344
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,0.81
Pond8Fish5_PondTime,35.394
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,77
Pond8Fish5_TimeLeft,1116.981
PondEnd_LastFish,5
FishN,17
Type,N
GiveUpTime,0.306
PondTime,42.285
TimeLeft,1109.585
PondOutcome,55
TotalOutcome,77
PondStart,PondStart
PondIntroTime,12.38112410530448
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.637
Pond3Fish1_PondTime,8.881
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,88
Pond3Fish1_TimeLeft,1087.714
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.583
Pond3Fish2_PondTime,16.249
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,99
Pond3Fish2_TimeLeft,1080.346
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.67
Pond3Fish3_PondTime,24.066
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,110
Pond3Fish3_TimeLeft,1072.529
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.618
Pond3Fish4_PondTime,32.431
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,121
Pond3Fish4_TimeLeft,1064.164
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.617
Pond3Fish5_PondTime,41.464
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,132
Pond3Fish5_TimeLeft,1055.131
Type,N
FishN,18
Fish,6
