,5d5575339025920017fd271f
PlayerDetails,5d5575339025920017fd271f
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,N
Pond4_#Fishes,17
Pond2_Type,N
Pond2_#Fishes,12
Pond12_Type,N
Pond12_#Fishes,17
Pond5_Type,N
Pond5_#Fishes,17
Pond10_Type,N
Pond10_#Fishes,18
Pond6_Type,N
Pond6_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,12
Pond1_Type,N
Pond1_#Fishes,13
Pond11_Type,N
Pond11_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:49:41 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,1.091
Pond4Fish1_PondTime,8.063
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1194.336
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.853
Pond4Fish2_PondTime,14.43
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,22
Pond4Fish2_TimeLeft,1187.969
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,0.929
Pond4Fish3_PondTime,21.101
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,33
Pond4Fish3_TimeLeft,1181.298
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.722
Pond4Fish4_PondTime,28.093
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,44
Pond4Fish4_TimeLeft,1174.306
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.696
Pond4Fish5_PondTime,35.501
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,55
Pond4Fish5_TimeLeft,1166.897
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.762
Pond4Fish6_PondTime,43.342
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,66
Pond4Fish6_TimeLeft,1159.057
PondEnd_LastFish,6
FishN,17
Type,N
GiveUpTime,0.746
PondTime,51.509
TimeLeft,1150.386
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,13.90966375824064
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.895
Pond2Fish1_PondTime,9.75
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,77
Pond2Fish1_TimeLeft,1126.103
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.97
Pond2Fish2_PondTime,18.41
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,88
Pond2Fish2_TimeLeft,1117.443
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.859
Pond2Fish3_PondTime,27.464
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,99
Pond2Fish3_TimeLeft,1108.389
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.744
Pond2Fish4_PondTime,37.338
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,110
Pond2Fish4_TimeLeft,1098.515
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.763
Pond2Fish5_PondTime,48.289
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,121
Pond2Fish5_TimeLeft,1087.563
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,0.726
Pond2Fish6_PondTime,60.668
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,132
Pond2Fish6_TimeLeft,1075.185
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.721
Pond2Fish7_PondTime,75.063
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,143
Pond2Fish7_TimeLeft,1060.789
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.9
PondTime,92.357
TimeLeft,1042.988
PondOutcome,77
TotalOutcome,143
PondStart,PondStart
PondIntroTime,19.54755872953683
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.992
Pond12Fish1_PondTime,8.053
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,154
Pond12Fish1_TimeLeft,1014.758
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.665
Pond12Fish2_PondTime,14.438
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,165
Pond12Fish2_TimeLeft,1008.373
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.716
Pond12Fish3_PondTime,21.096
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,176
Pond12Fish3_TimeLeft,1001.715
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,0.732
Pond12Fish4_PondTime,28.083
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,187
Pond12Fish4_TimeLeft,994.728
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.869
Pond12Fish5_PondTime,35.488
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,198
Pond12Fish5_TimeLeft,987.322
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.772
Pond12Fish6_PondTime,43.343
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,209
Pond12Fish6_TimeLeft,979.467
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,0.931
Pond12Fish7_PondTime,51.701
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,220
Pond12Fish7_TimeLeft,971.11
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.676
Pond12Fish8_PondTime,60.74
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,231
Pond12Fish8_TimeLeft,962.071
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,0.701
Pond12Fish9_PondTime,70.63
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,242
Pond12Fish9_TimeLeft,952.181
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,0.844
Pond12Fish10_PondTime,81.584
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,253
Pond12Fish10_TimeLeft,941.227
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,0.75
Pond12Fish11_PondTime,93.962
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,264
Pond12Fish11_TimeLeft,928.848
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,0.522
PondTime,107.959
TimeLeft,914.35
PondOutcome,121
TotalOutcome,264
PondStart,PondStart
PondIntroTime,18.419745878782123
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.004
Pond5Fish1_PondTime,8.036
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,275
Pond5Fish1_TimeLeft,887.27
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,0.723
Pond5Fish2_PondTime,14.409
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,286
Pond5Fish2_TimeLeft,880.897
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.772
Pond5Fish3_PondTime,21.079
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,297
Pond5Fish3_TimeLeft,874.227
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.492
Pond5Fish4_PondTime,28.067
Pond5Fish4_PondOutcome,44
