,5d56e5a6ed4dff00155112ea
PlayerDetails,5d56e5a6ed4dff00155112ea
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,N
Pond11_#Fishes,16
Pond4_Type,N
Pond4_#Fishes,15
Pond8_Type,N
Pond8_#Fishes,18
Pond2_Type,N
Pond2_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,16
Pond9_Type,N
Pond9_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,19
Pond10_Type,N
Pond10_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:24:29 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.196
Pond11Fish1_PondTime,8.278
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,11
Pond11Fish1_TimeLeft,1194.112
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.254
Pond11Fish2_PondTime,14.942
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,22
Pond11Fish2_TimeLeft,1187.448
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.052
Pond11Fish3_PondTime,21.951
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,33
Pond11Fish3_TimeLeft,1180.439
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
