,5d7246eafae80f0018e17fea
PlayerDetails,5d7246eafae80f0018e17fea
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,N
Pond8_#Fishes,17
Pond1_Type,N
Pond1_#Fishes,19
Pond4_Type,N
Pond4_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,17
Pond5_Type,N
Pond5_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,12
Pond10_Type,N
Pond10_#Fishes,17
Pond6_Type,N
Pond6_#Fishes,16
Pond3_Type,N
Pond3_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,16
Pond7_Type,N
Pond7_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 19:29:01 GMT+0200 (Eastern European Standard Time)
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.206
Pond8Fish1_PondTime,8.021
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,11
Pond8Fish1_TimeLeft,1194.376
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.1
Pond8Fish2_PondTime,14.388
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,22
Pond8Fish2_TimeLeft,1188.01
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,1.187
Pond8Fish3_PondTime,21.032
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,33
Pond8Fish3_TimeLeft,1181.366
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.634
Pond8Fish4_PondTime,28.017
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,44
Pond8Fish4_TimeLeft,1174.381
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.574
Pond8Fish5_PondTime,35.379
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,55
Pond8Fish5_TimeLeft,1167.019
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.503
Pond8Fish6_PondTime,43.194
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,66
Pond8Fish6_TimeLeft,1159.204
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,1.778
Pond8Fish7_PondTime,51.641
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,77
Pond8Fish7_TimeLeft,1150.757
PondEnd_LastFish,7
FishN,17
Type,N
GiveUpTime,1.436
PondTime,52.975
TimeLeft,1148.92
PondOutcome,77
TotalOutcome,77
PondStart,PondStart
PondIntroTime,10.286334296688437
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.55
Pond1Fish1_PondTime,7.614
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,88
Pond1Fish1_TimeLeft,1130.378
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.452
Pond1Fish2_PondTime,13.512
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,99
Pond1Fish2_TimeLeft,1124.479
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.234
Pond1Fish3_PondTime,19.628
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,110
Pond1Fish3_TimeLeft,1118.364
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.287
Pond1Fish4_PondTime,25.994
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,121
Pond1Fish4_TimeLeft,1111.998
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.566
Pond1Fish5_PondTime,32.641
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,132
Pond1Fish5_TimeLeft,1105.351
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.625
Pond1Fish6_PondTime,39.626
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,143
Pond1Fish6_TimeLeft,1098.365
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,2.102
PondTime,41.556
TimeLeft,1095.933
PondOutcome,66
TotalOutcome,143
PondStart,PondStart
PondIntroTime,18.987381542101502
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,1.229
Pond4Fish1_PondTime,8.568
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,154
Pond4Fish1_TimeLeft,1067.74
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,1.686
Pond4Fish2_PondTime,15.553
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,165
Pond4Fish2_TimeLeft,1060.756
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.015
Pond4Fish3_PondTime,22.915
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,176
Pond4Fish3_TimeLeft,1053.394
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,1.299
Pond4Fish4_PondTime,30.729
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,187
Pond4Fish4_TimeLeft,1045.58
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1.043
Pond4Fish5_PondTime,39.093
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,198
Pond4Fish5_TimeLeft,1037.216
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.007
Pond4Fish6_PondTime,48.123
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,209
Pond4Fish6_TimeLeft,1028.186
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.594
Pond4Fish7_PondTime,57.988
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,220
Pond4Fish7_TimeLeft,1018.321
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,1.894
Pond4Fish8_PondTime,69.118
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,231
Pond4Fish8_TimeLeft,1007.191
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.478
Pond4Fish9_PondTime,81.489
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,242
Pond4Fish9_TimeLeft,994.82
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,1.186
PondTime,82.349
TimeLeft,993.457
PondOutcome,99
TotalOutcome,242
PondStart,PondStart
PondIntroTime,14.493694929406047
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.139
Pond11Fish1_PondTime,8.017
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,253
Pond11Fish1_TimeLeft,970.315
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.824
Pond11Fish2_PondTime,14.516
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,264
Pond11Fish2_TimeLeft,963.816
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.063
Pond11Fish3_PondTime,21.163
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,275
Pond11Fish3_TimeLeft,957.169
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.304
Pond11Fish4_PondTime,28.146
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,286
Pond11Fish4_TimeLeft,950.186
PondEnd_LastFish,4
FishN,17
Type,N
GiveUpTime,1.167
PondTime,28.827
TimeLeft,949.002
PondOutcome,44
TotalOutcome,286
PondStart,PondStart
PondIntroTime,18.304042448289692
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.12
Pond5Fish1_PondTime,7.615
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,297
Pond5Fish1_TimeLeft,922.445
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.427
Pond5Fish2_PondTime,13.498
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,308
Pond5Fish2_TimeLeft,916.562
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.456
Pond5Fish3_PondTime,19.614
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,319
Pond5Fish3_TimeLeft,910.446
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,1.428
Pond5Fish4_PondTime,25.978
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,330
Pond5Fish4_TimeLeft,904.082
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,1.471
Pond5Fish5_PondTime,32.625
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,341
Pond5Fish5_TimeLeft,897.435
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,1.489
Pond5Fish6_PondTime,39.608
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,352
Pond5Fish6_TimeLeft,890.452
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.526
Pond5Fish7_PondTime,46.972
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,363
Pond5Fish7_TimeLeft,883.088
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,-1
Pond5Fish8_PondTime,54.853
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,363
Pond5Fish8_TimeLeft,875.207
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,1.437
Pond5Fish9_PondTime,63.219
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,374
Pond5Fish9_TimeLeft,866.841
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.195
Pond5Fish10_PondTime,72.252
Pond5Fish10_PondOutcome,99
Pond5Fish10_TotalOutcome,385
Pond5Fish10_TimeLeft,857.808
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.951
Pond5Fish11_PondTime,82.119
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,396
Pond5Fish11_TimeLeft,847.94
Type,N
FishN,18
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.16
Pond5Fish12_PondTime,93.051
Pond5Fish12_PondOutcome,121
Pond5Fish12_TotalOutcome,407
Pond5Fish12_TimeLeft,837.009
Type,N
FishN,18
Fish,13
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.643
Pond5Fish13_PondTime,105.412
Pond5Fish13_PondOutcome,132
Pond5Fish13_TotalOutcome,418
Pond5Fish13_TimeLeft,824.648
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,1.011
PondTime,106.269
TimeLeft,823.289
PondOutcome,132
TotalOutcome,418
PondStart,PondStart
PondIntroTime,15.206312502268702
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,-1
Pond12Fish1_PondTime,9.797
Pond12Fish1_PondOutcome,0
Pond12Fish1_TotalOutcome,418
Pond12Fish1_TimeLeft,797.659
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.625
Pond12Fish2_PondTime,18.163
Pond12Fish2_PondOutcome,11
Pond12Fish2_TotalOutcome,429
Pond12Fish2_TimeLeft,789.293
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.324
Pond12Fish3_PondTime,27.198
Pond12Fish3_PondOutcome,22
Pond12Fish3_TotalOutcome,440
Pond12Fish3_TimeLeft,780.257
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,1.464
Pond12Fish4_PondTime,37.06
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,451
Pond12Fish4_TimeLeft,770.396
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.677
Pond12Fish5_PondTime,47.99
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,462
Pond12Fish5_TimeLeft,759.465
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.656
Pond12Fish6_PondTime,60.353
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,473
Pond12Fish6_TimeLeft,747.103
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,10.037
PondTime,70.254
TimeLeft,736.7
PondOutcome,55
TotalOutcome,473
PondStart,PondStart
PondIntroTime,13.885039719752967
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.013
Pond10Fish1_PondTime,8.034
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,484
Pond10Fish1_TimeLeft,714.141
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.186
Pond10Fish2_PondTime,14.396
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,495
Pond10Fish2_TimeLeft,707.779
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.352
Pond10Fish3_PondTime,21.049
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,506
Pond10Fish3_TimeLeft,701.126
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.562
Pond10Fish4_PondTime,28.025
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,517
Pond10Fish4_TimeLeft,694.15
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.271
Pond10Fish5_PondTime,35.39
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,528
Pond10Fish5_TimeLeft,686.785
Type,N
FishN,17
Fish,6
