,5d78ffbc9a5f5200169fb6ac
PlayerDetails,5d78ffbc9a5f5200169fb6ac
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,N
Pond10_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,19
Pond5_Type,N
Pond5_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,18
Pond3_Type,N
Pond3_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:28:07 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.306
Pond10Fish1_PondTime,8.922
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1193.476
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.912
Pond10Fish2_PondTime,16.335
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1186.063
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.067
Pond10Fish3_PondTime,24.21
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1178.189
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.766
Pond10Fish4_PondTime,32.595
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1169.804
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,0.991
Pond10Fish5_PondTime,41.641
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1160.758
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.89
Pond10Fish6_PondTime,51.531
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,66
Pond10Fish6_TimeLeft,1150.868
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.766
Pond10Fish7_PondTime,62.492
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,77
Pond10Fish7_TimeLeft,1139.907
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.086
Pond10Fish8_PondTime,74.878
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,88
Pond10Fish8_TimeLeft,1127.521
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,0.9
Pond10Fish9_PondTime,89.27
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,99
Pond10Fish9_TimeLeft,1113.129
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,1.234
Pond10Fish10_PondTime,106.679
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1095.72
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,1.247
PondTime,107.343
TimeLeft,1094.547
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,16.53946021106094
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,0.882
Pond11Fish1_PondTime,7.656
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,121
Pond11Fish1_TimeLeft,1069.714
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,0.865
Pond11Fish2_PondTime,13.603
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,132
Pond11Fish2_TimeLeft,1063.767
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,0.878
Pond11Fish3_PondTime,19.757
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,143
Pond11Fish3_TimeLeft,1057.613
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,0.672
Pond11Fish4_PondTime,26.137
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,154
Pond11Fish4_TimeLeft,1051.233
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,0.807
Pond11Fish5_PondTime,32.793
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,165
Pond11Fish5_TimeLeft,1044.577
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,0.792
Pond11Fish6_PondTime,39.812
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,176
Pond11Fish6_TimeLeft,1037.558
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,0.832
Pond11Fish7_PondTime,47.194
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,187
Pond11Fish7_TimeLeft,1030.176
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5
Pond11Fish8_CatchTime,0.883
Pond11Fish8_PondTime,55.037
