,5dac6532ccaa330016e11e8f
PlayerDetails,5dac6532ccaa330016e11e8f
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,N
Pond6_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,16
Pond2_Type,N
Pond2_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,18
Pond4_Type,N
Pond4_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:31:17 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.007
Pond6Fish1_PondTime,8.272
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1194.127
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.391
Pond6Fish2_PondTime,14.929
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1187.47
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,0.874
Pond6Fish3_PondTime,21.9
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1180.499
Type,N
FishN,18
Fish,4
