,5dacaea50cd3ff0016e3f493
PlayerDetails,5dacaea50cd3ff0016e3f493
GameCompleted,finished
Selected ponds in the game,=======
Pond10_Type,N
Pond10_#Fishes,16
Pond4_Type,N
Pond4_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,15
Pond5_Type,N
Pond5_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,15
Pond8_Type,N
Pond8_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,18
Pond6_Type,N
Pond6_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:31:15 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.012
Pond10Fish1_PondTime,8.259
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1194.14
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,0.774
Pond10Fish2_PondTime,14.909
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1187.489
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.849
Pond10Fish3_PondTime,21.893
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1180.506
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,0.753
Pond10Fish4_PondTime,29.26
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1173.139
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,0.951
Pond10Fish5_PondTime,37.075
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1165.324
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.327
Pond10Fish6_PondTime,45.441
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,66
Pond10Fish6_TimeLeft,1156.958
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,0.881
Pond10Fish7_PondTime,54.475
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,77
Pond10Fish7_TimeLeft,1147.924
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.323
Pond10Fish8_PondTime,64.341
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,88
Pond10Fish8_TimeLeft,1138.058
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.472
Pond10Fish9_PondTime,75.274
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,99
Pond10Fish9_TimeLeft,1127.125
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,1.242
Pond10Fish10_PondTime,87.641
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,110
Pond10Fish10_TimeLeft,1114.758
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.783
PondTime,87.872
TimeLeft,1114.023
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,14.274826506152749
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.691
Pond4Fish1_PondTime,8.017
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,121
Pond4Fish1_TimeLeft,1091.108
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.738
Pond4Fish2_PondTime,14.382
