,5dbc4d181817ae1f372115bf
PlayerDetails,5dbc4d181817ae1f372115bf
GameCompleted,declined
Selected ponds in the game,=======
Pond8_Type,N
Pond8_#Fishes,14
Pond7_Type,N
Pond7_#Fishes,14
Pond5_Type,N
Pond5_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 20:09:06 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,9.049
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,0
Pond8Fish1_TimeLeft,1193.35
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.945
Pond8Fish2_PondTime,16.437
Pond8Fish2_PondOutcome,11
Pond8Fish2_TotalOutcome,11
Pond8Fish2_TimeLeft,1185.962
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.238
Pond8Fish3_PondTime,24.266
Pond8Fish3_PondOutcome,22
Pond8Fish3_TotalOutcome,22
Pond8Fish3_TimeLeft,1178.132
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.139
Pond8Fish4_PondTime,32.635
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,33
Pond8Fish4_TimeLeft,1169.764
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.102
Pond8Fish5_PondTime,41.666
Pond8Fish5_PondOutcome,44
Pond8Fish5_TotalOutcome,44
