,5dc2c8cc9be08f1e3be48352
PlayerDetails,5dc2c8cc9be08f1e3be48352
GameCompleted,finished
Selected ponds in the game,=======
Pond8_Type,N
Pond8_#Fishes,15
Pond10_Type,N
Pond10_#Fishes,14
Pond1_Type,N
Pond1_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,12
Pond3_Type,N
Pond3_#Fishes,17
Pond9_Type,N
Pond9_#Fishes,16
Pond11_Type,N
Pond11_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,17
Pond2_Type,N
Pond2_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:31:43 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.078
Pond8Fish1_PondTime,8.624
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,11
Pond8Fish1_TimeLeft,1193.772
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.449
Pond8Fish2_PondTime,15.625
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,22
Pond8Fish2_TimeLeft,1186.772
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.717
Pond8Fish3_PondTime,22.999
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,33
Pond8Fish3_TimeLeft,1179.398
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.799
Pond8Fish4_PondTime,30.829
