,5dcee15fa6438002940762a7
PlayerDetails,5dcee15fa6438002940762a7
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,N
Pond6_#Fishes,15
Pond9_Type,N
Pond9_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,16
Pond5_Type,N
Pond5_#Fishes,14
Pond3_Type,N
Pond3_#Fishes,13
Pond2_Type,N
Pond2_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,19
Pond10_Type,N
Pond10_#Fishes,12
Pond11_Type,N
Pond11_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:17:09 GMT+0100 (Central European Standard Time)
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.961
Pond6Fish1_PondTime,8.562
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,11
Pond6Fish1_TimeLeft,1193.836
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.155
Pond6Fish2_PondTime,15.54
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,22
Pond6Fish2_TimeLeft,1186.858
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.915
Pond6Fish3_PondTime,22.908
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,33
Pond6Fish3_TimeLeft,1179.49
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.09
Pond6Fish4_PondTime,30.724
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,44
Pond6Fish4_TimeLeft,1171.674
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.132
Pond6Fish5_PondTime,39.092
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,55
Pond6Fish5_TimeLeft,1163.306
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.931
Pond6Fish6_PondTime,48.123
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,66
Pond6Fish6_TimeLeft,1154.274
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.088
Pond6Fish7_PondTime,57.99
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,77
Pond6Fish7_TimeLeft,1144.408
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,1.179
Pond6Fish8_PondTime,68.924
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,88
Pond6Fish8_TimeLeft,1133.474
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,1.692
Pond6Fish9_PondTime,81.301
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,99
Pond6Fish9_TimeLeft,1121.097
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.125
Pond6Fish10_PondTime,95.658
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,110
Pond6Fish10_TimeLeft,1106.74
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,0.941
Pond6Fish11_PondTime,113.025
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,121
Pond6Fish11_TimeLeft,1089.373
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,1.525
PondTime,113.698
TimeLeft,1088.197
PondOutcome,121
TotalOutcome,121
PondStart,PondStart
PondIntroTime,16.773804042022675
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.97
Pond9Fish1_PondTime,9.731
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,132
Pond9Fish1_TimeLeft,1061.074
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.118
Pond9Fish2_PondTime,18.099
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,143
Pond9Fish2_TimeLeft,1052.706
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.299
Pond9Fish3_PondTime,27.131
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,154
Pond9Fish3_TimeLeft,1043.674
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.112
Pond9Fish4_PondTime,36.997
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,165
Pond9Fish4_TimeLeft,1033.807
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,0.995
Pond9Fish5_PondTime,47.933
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,176
Pond9Fish5_TimeLeft,1022.872
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.06
Pond9Fish6_PondTime,60.297
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,187
Pond9Fish6_TimeLeft,1010.508
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,0.981
Pond9Fish7_PondTime,74.664
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,198
Pond9Fish7_TimeLeft,996.141
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.102
Pond9Fish8_PondTime,92.033
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,209
Pond9Fish8_TimeLeft,978.772
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,1.782
PondTime,93.128
TimeLeft,977.173
PondOutcome,88
TotalOutcome,209
PondStart,PondStart
PondIntroTime,13.242457227315754
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.177
Pond7Fish1_PondTime,8.267
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,220
Pond7Fish1_TimeLeft,955.04
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.04
Pond7Fish2_PondTime,14.916
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,231
Pond7Fish2_TimeLeft,948.391
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.919
Pond7Fish3_PondTime,21.9
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,242
Pond7Fish3_TimeLeft,941.407
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.042
Pond7Fish4_PondTime,29.266
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,253
Pond7Fish4_TimeLeft,934.041
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.035
Pond7Fish5_PondTime,37.084
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,264
Pond7Fish5_TimeLeft,926.223
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.907
Pond7Fish6_PondTime,45.449
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,275
Pond7Fish6_TimeLeft,917.858
Type,N
