,5dcfc0deb2204f0c99f18f96
PlayerDetails,5dcfc0deb2204f0c99f18f96
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,N
Pond1_#Fishes,12
Pond5_Type,N
Pond5_#Fishes,16
Pond8_Type,N
Pond8_#Fishes,13
Pond11_Type,N
Pond11_#Fishes,17
Pond2_Type,N
Pond2_#Fishes,13
Pond7_Type,N
Pond7_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,12
Pond4_Type,N
Pond4_#Fishes,13
Pond3_Type,N
Pond3_#Fishes,14
Pond10_Type,N
Pond10_#Fishes,17
Pond9_Type,N
Pond9_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 18:35:34 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.388
Pond1Fish1_PondTime,9.799
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,11
Pond1Fish1_TimeLeft,1192.598
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.16
Pond1Fish2_PondTime,18.205
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,22
Pond1Fish2_TimeLeft,1184.193
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,6
