,5df8004be69d0a5abf7e4ac8
PlayerDetails,5df8004be69d0a5abf7e4ac8
GameCompleted,declined
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,14
Pond6_Type,N
Pond6_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:26:09 GMT+0000 (Horário Padrão da Europa Ocidental)
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.966
Pond5Fish1_PondTime,8.547
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,11
Pond5Fish1_TimeLeft,1193.852
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.952
Pond5Fish2_PondTime,15.529
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,22
Pond5Fish2_TimeLeft,1186.87
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,0.681
Pond5Fish3_PondTime,22.896
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,33
Pond5Fish3_TimeLeft,1179.503
PondEnd_LastFish,3
FishN,15
Type,N
GiveUpTime,2.402
PondTime,24.18
TimeLeft,1177.717
PondOutcome,33
TotalOutcome,33
PondStart,PondStart
PondIntroTime,16.212672609835863
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.689
Pond4Fish1_PondTime,8.887
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,44
Pond4Fish1_TimeLeft,1152
Type,N
