,5dfbabdfdd997b8ccc6ece2b
PlayerDetails,5dfbabdfdd997b8ccc6ece2b
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,N
Pond4_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,16
Pond6_Type,N
Pond6_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:26:14 GMT+0000 (Greenwich Mean Time)
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.882
Pond4Fish1_PondTime,9.266
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1193.132
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.832
Pond4Fish2_PondTime,17.077
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,22
Pond4Fish2_TimeLeft,1185.321
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.983
Pond4Fish3_PondTime,25.439
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,33
Pond4Fish3_TimeLeft,1176.959
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.827
Pond4Fish4_PondTime,34.466
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,44
Pond4Fish4_TimeLeft,1167.932
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.348
Pond4Fish5_PondTime,44.327
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,55
Pond4Fish5_TimeLeft,1158.071
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.974
Pond4Fish6_PondTime,55.257
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,66
Pond4Fish6_TimeLeft,1147.141
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,-1
Pond4Fish7_PondTime,67.671
Pond4Fish7_PondOutcome,66
Pond4Fish7_TotalOutcome,66
Pond4Fish7_TimeLeft,1134.727
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,1.364
Pond4Fish8_PondTime,82.033
Pond4Fish8_PondOutcome,77
Pond4Fish8_TotalOutcome,77
Pond4Fish8_TimeLeft,1120.365
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.127
Pond4Fish9_PondTime,99.393
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,88
Pond4Fish9_TimeLeft,1103.005
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,19.397
PondTime,118.118
TimeLeft,1083.779
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,17.36277318559587
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.165
Pond5Fish1_PondTime,8.551
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,99
Pond5Fish1_TimeLeft,1057.25
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.021
Pond5Fish2_PondTime,15.524
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,110
Pond5Fish2_TimeLeft,1050.277
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.292
Pond5Fish3_PondTime,22.884
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,121
Pond5Fish3_TimeLeft,1042.917
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.146
Pond5Fish4_PondTime,30.698
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,132
Pond5Fish4_TimeLeft,1035.103
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,1.477
Pond5Fish5_PondTime,39.056
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,143
Pond5Fish5_TimeLeft,1026.745
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,1.094
Pond5Fish6_PondTime,48.076
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,154
Pond5Fish6_TimeLeft,1017.725
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,0.871
Pond5Fish7_PondTime,57.937
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,165
Pond5Fish7_TimeLeft,1007.864
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.092
Pond5Fish8_PondTime,68.867
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,176
Pond5Fish8_TimeLeft,996.934
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,1.045
Pond5Fish9_PondTime,81.222
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,187
Pond5Fish9_TimeLeft,984.579
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.279
Pond5Fish10_PondTime,95.583
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,198
Pond5Fish10_TimeLeft,970.218
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,0.984
Pond5Fish11_PondTime,112.944
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,209
Pond5Fish11_TimeLeft,952.857
Type,N
FishN,18
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,15
Pond5Fish12_CatchTime,0.937
Pond5Fish12_PondTime,135.304
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,220
