,5e208aa1e87b8e000b43675d
PlayerDetails,5e208aa1e87b8e000b43675d
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,N
Pond4_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,17
Pond11_Type,N
Pond11_#Fishes,17
Pond12_Type,N
Pond12_#Fishes,18
Pond3_Type,N
Pond3_#Fishes,14
Pond6_Type,N
Pond6_#Fishes,17
Pond7_Type,N
Pond7_#Fishes,15
Pond10_Type,N
Pond10_#Fishes,18
Pond5_Type,N
Pond5_#Fishes,19
Pond9_Type,N
Pond9_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 12:15:07 GMT-0500 (Eastern Standard Time)
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.016
Pond4Fish1_PondTime,7.595
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,11
Pond4Fish1_TimeLeft,1194.804
Type,N
FishN,19
