,5e209868a122c8000b7338ba
PlayerDetails,5e209868a122c8000b7338ba
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,N
Pond7_#Fishes,12
Pond11_Type,N
Pond11_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,15
Pond12_Type,N
Pond12_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,14
Pond3_Type,N
Pond3_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,13
Pond9_Type,N
Pond9_#Fishes,15
Pond2_Type,N
Pond2_#Fishes,19
Pond6_Type,N
Pond6_#Fishes,13
Pond5_Type,N
Pond5_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 11:22:27 GMT-0600 (hora estándar central)
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.123
Pond7Fish1_PondTime,9.729
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,11
Pond7Fish1_TimeLeft,1192.67
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.624
Pond7Fish2_PondTime,18.098
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,22
Pond7Fish2_TimeLeft,1184.301
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.746
Pond7Fish3_PondTime,27.137
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,33
Pond7Fish3_TimeLeft,1175.262
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,0.994
Pond7Fish4_PondTime,37.009
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,44
Pond7Fish4_TimeLeft,1165.389
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.263
Pond7Fish5_PondTime,47.954
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,55
Pond7Fish5_TimeLeft,1154.445
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,10.825
PondTime,58.243
TimeLeft,1143.655
PondOutcome,55
TotalOutcome,55
PondStart,PondStart
PondIntroTime,15.376434568315744
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.058
Pond11Fish1_PondTime,8.568
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,66
Pond11Fish1_TimeLeft,1119.07
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.336
Pond11Fish2_PondTime,15.573
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,77
Pond11Fish2_TimeLeft,1112.065
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,0.878
Pond11Fish3_PondTime,22.946
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,88
Pond11Fish3_TimeLeft,1104.692
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,0.688
Pond11Fish4_PondTime,30.783
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,99
Pond11Fish4_TimeLeft,1096.855
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.047
Pond11Fish5_PondTime,39.157
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,110
Pond11Fish5_TimeLeft,1088.481
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,1.355
Pond11Fish6_PondTime,48.195
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,121
Pond11Fish6_TimeLeft,1079.443
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,0.743
Pond11Fish7_PondTime,58.07
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,132
Pond11Fish7_TimeLeft,1069.568
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.037
Pond11Fish8_PondTime,69.028
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,143
Pond11Fish8_TimeLeft,1058.61
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.085
Pond11Fish9_PondTime,81.414
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,154
Pond11Fish9_TimeLeft,1046.224
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,10.215
PondTime,90.92
TimeLeft,1036.216
PondOutcome,99
TotalOutcome,154
PondStart,PondStart
PondIntroTime,14.329996691085398
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,0.957
Pond4Fish1_PondTime,8.566
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,165
Pond4Fish1_TimeLeft,1012.697
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,0.62
Pond4Fish2_PondTime,15.567
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,176
Pond4Fish2_TimeLeft,1005.696
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,1.038
Pond4Fish3_PondTime,22.952
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,187
Pond4Fish3_TimeLeft,998.311
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.679
Pond4Fish4_PondTime,30.793
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,198
Pond4Fish4_TimeLeft,990.47
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,1
Pond4Fish5_PondTime,39.163
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,209
Pond4Fish5_TimeLeft,982.1
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,1.027
Pond4Fish6_PondTime,48.22
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,220
Pond4Fish6_TimeLeft,973.043
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6.666666666666667
Pond4Fish7_CatchTime,1.235
Pond4Fish7_PondTime,58.101
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,231
Pond4Fish7_TimeLeft,963.162
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,7.5
Pond4Fish8_CatchTime,0.768
Pond4Fish8_PondTime,69.048
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,242
Pond4Fish8_TimeLeft,952.215
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,0.639
PondTime,81.115
TimeLeft,939.646
PondOutcome,88
TotalOutcome,242
PondStart,PondStart
PondIntroTime,12.628325286787003
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.137
Pond12Fish1_PondTime,8.284
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,253
Pond12Fish1_TimeLeft,918.11
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.16
Pond12Fish2_PondTime,14.955
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,264
Pond12Fish2_TimeLeft,911.439
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.991
Pond12Fish3_PondTime,21.963
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,275
Pond12Fish3_TimeLeft,904.431
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.963
Pond12Fish4_PondTime,29.346
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,286
Pond12Fish4_TimeLeft,897.047
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.028
Pond12Fish5_PondTime,37.168
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,297
Pond12Fish5_TimeLeft,889.226
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.087
Pond12Fish6_PondTime,45.55
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,308
Pond12Fish6_TimeLeft,880.844
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.083
Pond12Fish7_PondTime,54.605
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,319
Pond12Fish7_TimeLeft,871.789
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.956
Pond12Fish8_PondTime,64.481
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,330
Pond12Fish8_TimeLeft,861.913
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.984
Pond12Fish9_PondTime,75.434
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,341
Pond12Fish9_TimeLeft,850.96
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.01
Pond12Fish10_PondTime,87.812
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,352
Pond12Fish10_TimeLeft,838.582
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.561
Pond12Fish11_PondTime,102.187
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,363
Pond12Fish11_TimeLeft,824.207
Type,N
FishN,17
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,1.51
Pond12Fish12_PondTime,119.553
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,374
Pond12Fish12_TimeLeft,806.84
PondEnd_LastFish,12
FishN,16
Type,N
GiveUpTime,0.493
PondTime,119.761
TimeLeft,806.128
PondOutcome,132
TotalOutcome,374
PondStart,PondStart
PondIntroTime,15.231980250682682
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,2.006
Pond10Fish1_PondTime,8.963
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,385
Pond10Fish1_TimeLeft,781.329
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.273
Pond10Fish2_PondTime,16.329
