,czujsn
PlayerDetails,czujsn
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,N
Pond3_#Fishes,15
Pond12_Type,N
Pond12_#Fishes,19
Pond5_Type,N
Pond5_#Fishes,12
Pond4_Type,N
Pond4_#Fishes,15
Pond11_Type,N
Pond11_#Fishes,17
Pond10_Type,N
Pond10_#Fishes,12
Pond9_Type,N
Pond9_#Fishes,15
Pond6_Type,N
Pond6_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,16
Pond1_Type,N
Pond1_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 19:27:32 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,0.736
Pond3Fish1_PondTime,8.56
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,11
Pond3Fish1_TimeLeft,1193.838
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,0.686
Pond3Fish2_PondTime,15.543
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,22
Pond3Fish2_TimeLeft,1186.855
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,0.915
Pond3Fish3_PondTime,22.908
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,33
Pond3Fish3_TimeLeft,1179.49
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.05
Pond3Fish4_PondTime,30.727
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,44
Pond3Fish4_TimeLeft,1171.671
PondEnd_LastFish,4
FishN,15
Type,N
GiveUpTime,1.59
PondTime,31.563
TimeLeft,1170.331
PondOutcome,44
TotalOutcome,44
PondStart,PondStart
PondIntroTime,17.506587689276785
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.978
Pond12Fish1_PondTime,7.601
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,55
Pond12Fish1_TimeLeft,1144.606
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,0.834
Pond12Fish2_PondTime,13.499
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,66
Pond12Fish2_TimeLeft,1138.707
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.545
Pond12Fish3_PondTime,19.617
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,77
Pond12Fish3_TimeLeft,1132.59
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,0.562
Pond12Fish4_PondTime,25.982
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,88
Pond12Fish4_TimeLeft,1126.225
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,0.746
Pond12Fish5_PondTime,32.632
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,99
Pond12Fish5_TimeLeft,1119.574
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.704
Pond12Fish6_PondTime,39.616
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,110
Pond12Fish6_TimeLeft,1112.591
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.85
Pond12Fish7_PondTime,46.983
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,121
Pond12Fish7_TimeLeft,1105.224
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,0.801
Pond12Fish8_PondTime,54.799
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,132
Pond12Fish8_TimeLeft,1097.408
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,0.755
Pond12Fish9_PondTime,63.166
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,143
Pond12Fish9_TimeLeft,1089.041
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,0.894
Pond12Fish10_PondTime,72.198
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,154
Pond12Fish10_TimeLeft,1080.009
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,0.691
Pond12Fish11_PondTime,82.065
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,165
Pond12Fish11_TimeLeft,1070.142
Type,N
FishN,17
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,0.988
Pond12Fish12_PondTime,92.998
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,176
Pond12Fish12_TimeLeft,1059.209
Type,N
FishN,17
Fish,13
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,8.571428571428571
Pond12Fish13_CatchTime,0.867
Pond12Fish13_PondTime,105.363
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,187
Pond12Fish13_TimeLeft,1046.844
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,0.472
PondTime,119.134
TimeLeft,1032.569
PondOutcome,143
TotalOutcome,187
PondStart,PondStart
PondIntroTime,13.527554522734135
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.898
Pond5Fish1_PondTime,9.734
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,198
Pond5Fish1_TimeLeft,1008.694
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.703
Pond5Fish2_PondTime,18.099
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,209
Pond5Fish2_TimeLeft,1000.329
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.817
Pond5Fish3_PondTime,27.133
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,220
Pond5Fish3_TimeLeft,991.295
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.729
Pond5Fish4_PondTime,36.998
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,231
Pond5Fish4_TimeLeft,981.43
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.615
Pond5Fish5_PondTime,47.933
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,242
Pond5Fish5_TimeLeft,970.495
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.818
Pond5Fish6_PondTime,60.3
