,ta
PlayerDetails,ta
GameCompleted,declined
Selected ponds in the game,=======
Pond10_Type,N
Pond10_#Fishes,20
Pond7_Type,N
Pond7_#Fishes,20
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Mon Feb 17 2020 20:33:51 GMT+0200 (Israel Standard Time)
Type,N
FishN,16
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3
Pond10Fish1_CatchTime,0.921
Pond10Fish1_PondTime,7.434
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1194.966
Type,N
FishN,16
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.1578947368421053
Pond10Fish2_CatchTime,0.887
Pond10Fish2_PondTime,13.133
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,22
Pond10Fish2_TimeLeft,1189.267
Type,N
FishN,16
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.3333333333333335
Pond10Fish3_CatchTime,1.035
Pond10Fish3_PondTime,19.033
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,33
Pond10Fish3_TimeLeft,1183.367
Type,N
FishN,16
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.5294117647058822
Pond10Fish4_CatchTime,1.118
Pond10Fish4_PondTime,25.149
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,44
Pond10Fish4_TimeLeft,1177.251
Type,N
FishN,16
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,3.75
Pond10Fish5_CatchTime,1.089
Pond10Fish5_PondTime,31.514
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,55
Pond10Fish5_TimeLeft,1170.885
Type,N
FishN,16
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4
Pond10Fish6_CatchTime,1.214
Pond10Fish6_PondTime,38.163
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,66
Pond10Fish6_TimeLeft,1164.237
Type,N
FishN,16
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.285714285714286
Pond10Fish7_CatchTime,1.512
Pond10Fish7_PondTime,45.147
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,77
Pond10Fish7_TimeLeft,1157.252
Type,N
FishN,16
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,4.615384615384615
Pond10Fish8_CatchTime,1.282
Pond10Fish8_PondTime,52.516
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,88
Pond10Fish8_TimeLeft,1149.884
Type,N
FishN,16
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5
Pond10Fish9_CatchTime,1.193
Pond10Fish9_PondTime,60.332
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,99
Pond10Fish9_TimeLeft,1142.068
Type,N
FishN,16
Fish,10
Pond10Fish10_FishType,green
