,589b7f625e63bf00013b2e5a
PlayerDetails,589b7f625e63bf00013b2e5a
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 08:45:11 GMT+0100 (czas środkowoeuropejski standardowy)
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.954
Pond3Fish1_PondTime,7.361
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,11
Pond3Fish1_TimeLeft,1192.614
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.929
Pond3Fish2_PondTime,15.784
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,22
Pond3Fish2_TimeLeft,1184.192
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,0.84
Pond3Fish3_PondTime,24.895
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,33
Pond3Fish3_TimeLeft,1175.08
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.668
Pond3Fish4_PondTime,34.798
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,44
Pond3Fish4_TimeLeft,1165.178
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.942
Pond3Fish5_PondTime,45.766
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,55
Pond3Fish5_TimeLeft,1154.209
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,-1
Pond3Fish6_PondTime,58.253
Pond3Fish6_PondOutcome,55
Pond3Fish6_TotalOutcome,55
Pond3Fish6_TimeLeft,1141.723
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,0.72
Pond3Fish7_PondTime,72.704
Pond3Fish7_PondOutcome,66
Pond3Fish7_TotalOutcome,66
Pond3Fish7_TimeLeft,1127.271
Pond3_GiveUpTime,13.122
Pond3_PondTime,85.112
Pond3_PondOutcome,66
Pond3_TotalOutcome,66
Pond3_TimeLeft,1114.864
Pond12IntroTime,14.46722445776686
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.934
Pond12Fish1_PondTime,23.746
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,77
Pond12Fish1_TimeLeft,1091.118
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.775
Pond12Fish2_PondTime,30.78
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,88
Pond12Fish2_TimeLeft,1084.083
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.673
Pond12Fish3_PondTime,38.203
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,99
Pond12Fish3_TimeLeft,1076.66
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.666
Pond12Fish4_PondTime,46.063
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,110
Pond12Fish4_TimeLeft,1068.8
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.645
Pond12Fish5_PondTime,54.483
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,121
Pond12Fish5_TimeLeft,1060.381
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.937
Pond12Fish6_PondTime,63.561
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,132
Pond12Fish6_TimeLeft,1051.302
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.832
Pond12Fish7_PondTime,73.499
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,143
Pond12Fish7_TimeLeft,1041.365
Pond12_GiveUpTime,0.839
Pond12_PondTime,84.581
Pond12_PondOutcome,77
Pond12_TotalOutcome,143
Pond12_TimeLeft,1030.283
Pond10IntroTime,10.493001812137663
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.774
Pond10Fish1_PondTime,19.292
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,154
Pond10Fish1_TimeLeft,1010.991
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.791
Pond10Fish2_PondTime,25.698
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,165
Pond10Fish2_TimeLeft,1004.585
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.625
Pond10Fish3_PondTime,32.385
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,176
Pond10Fish3_TimeLeft,997.898
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.741
Pond10Fish4_PondTime,39.414
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,187
Pond10Fish4_TimeLeft,990.869
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.791
Pond10Fish5_PondTime,46.837
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,198
Pond10Fish5_TimeLeft,983.446
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.93
Pond10Fish6_PondTime,54.711
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,209
Pond10Fish6_TimeLeft,975.571
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.607
Pond10Fish7_PondTime,63.102
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,220
Pond10Fish7_TimeLeft,967.179
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.726
Pond10Fish8_PondTime,72.168
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,231
Pond10Fish8_TimeLeft,958.113
Pond10_Type,N
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,0.806
Pond10Fish9_PondTime,82.054
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,242
Pond10Fish9_TimeLeft,948.228
Pond10_Type,N
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,0.822
Pond10Fish10_PondTime,93.047
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,253
Pond10Fish10_TimeLeft,937.235
Pond10_Type,N
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,0.756
Pond10Fish11_PondTime,105.455
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,264
Pond10Fish11_TimeLeft,924.827
Pond10_Type,N
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,0.868
Pond10Fish12_PondTime,119.862
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,275
Pond10Fish12_TimeLeft,910.421
Pond10_Type,N
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,12
Pond10Fish13_CatchTime,0.731
Pond10Fish13_PondTime,137.265
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,286
Pond10Fish13_TimeLeft,893.018
Pond10_Type,N
Pond10Fish14_FishType,green
Pond10Fish14_FishLatency,15
Pond10Fish14_CatchTime,0.987
Pond10Fish14_PondTime,159.669
Pond10Fish14_PondOutcome,154
Pond10Fish14_TotalOutcome,297
Pond10Fish14_TimeLeft,870.613
Pond10_GiveUpTime,1.034
Pond10_PondTime,160.278
Pond10_PondOutcome,154
Pond10_TotalOutcome,297
Pond10_TimeLeft,870.005
Pond5IntroTime,13.61664961790666
Pond5_Type,RT
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.837
Pond5Fish1_PondTime,22.036
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,317
Pond5Fish1_TimeLeft,847.969
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.945
Pond5Fish2_PondTime,27.953
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,327
Pond5Fish2_TimeLeft,842.047
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.893
Pond5Fish3_PondTime,34.125
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,337
Pond5Fish3_TimeLeft,835.88
Pond5_Type,RT
Pond5Fish4_FishType,golden
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.783
Pond5Fish4_PondTime,40.585
Pond5Fish4_PondOutcome,60
Pond5Fish4_TotalOutcome,357
Pond5Fish4_TimeLeft,829.42
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.765
Pond5Fish5_PondTime,47.297
Pond5Fish5_PondOutcome,70
Pond5Fish5_TotalOutcome,367
Pond5Fish5_TimeLeft,822.708
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.66
Pond5Fish6_PondTime,54.343
Pond5Fish6_PondOutcome,80
Pond5Fish6_TotalOutcome,377
Pond5Fish6_TimeLeft,815.662
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.758
Pond5Fish7_PondTime,61.832
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,387
Pond5Fish7_TimeLeft,808.173
Pond5_Type,RT
Pond5Fish8_FishType,golden
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.706
Pond5Fish8_PondTime,69.696
Pond5Fish8_PondOutcome,110
Pond5Fish8_TotalOutcome,407
Pond5Fish8_TimeLeft,800.309
Pond5_Type,RT
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.747
Pond5Fish9_PondTime,78.149
Pond5Fish9_PondOutcome,120
Pond5Fish9_TotalOutcome,417
Pond5Fish9_TimeLeft,791.855
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.8
Pond5Fish10_PondTime,87.498
Pond5Fish10_PondOutcome,130
Pond5Fish10_TotalOutcome,427
