,5a6ce4d3d5d4cb0001d667c8
PlayerDetails,5a6ce4d3d5d4cb0001d667c8
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 07:45:27 GMT+0000 (Greenwich Mean Time)
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.418
Pond9Fish1_PondTime,5.658
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1194.339
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.938
Pond9Fish2_PondTime,12.035
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1187.962
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.393
Pond9Fish3_PondTime,18.706
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1181.291
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.811
Pond9Fish4_PondTime,25.72
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1174.277
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.925
Pond9Fish5_PondTime,33.11
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
Pond9Fish5_TimeLeft,1166.887
Pond9_GiveUpTime,0.724
Pond9_PondTime,41.224
Pond9_PondOutcome,55
Pond9_TotalOutcome,55
Pond9_TimeLeft,1158.772
Pond4IntroTime,17.73323046742007
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.111
Pond4Fish1_PondTime,27.652
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,67
Pond4Fish1_TimeLeft,1131.12
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.984
Pond4Fish2_PondTime,35.484
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,79
Pond4Fish2_TimeLeft,1123.288
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.833
Pond4Fish3_PondTime,43.865
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,91
Pond4Fish3_TimeLeft,1114.907
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.915
Pond4Fish4_PondTime,52.928
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,103
Pond4Fish4_TimeLeft,1105.844
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.101
Pond4Fish5_PondTime,62.821
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,115
Pond4Fish5_TimeLeft,1095.951
Pond4_GiveUpTime,0.904
Pond4_PondTime,63.431
Pond4_PondOutcome,60
Pond4_TotalOutcome,115
Pond4_TimeLeft,1095.341
Pond12IntroTime,13.976868379395455
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.829
Pond12Fish1_PondTime,23.175
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,126
Pond12Fish1_TimeLeft,1072.165
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.036
Pond12Fish2_PondTime,30.185
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,137
Pond12Fish2_TimeLeft,1065.156
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.817
Pond12Fish3_PondTime,37.574
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,148
Pond12Fish3_TimeLeft,1057.767
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.072
Pond12Fish4_PondTime,45.42
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,159
Pond12Fish4_TimeLeft,1049.921
Pond12_GiveUpTime,0.944
Pond12_PondTime,46.046
Pond12_PondOutcome,44
Pond12_TotalOutcome,159
Pond12_TimeLeft,1049.295
Pond3IntroTime,14.324721829034388
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.04
Pond3Fish1_PondTime,24.702
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,170
Pond3Fish1_TimeLeft,1024.593
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.019
Pond3Fish2_PondTime,33.084
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,181
Pond3Fish2_TimeLeft,1016.211
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.01
Pond3Fish3_PondTime,42.133
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,192
Pond3Fish3_TimeLeft,1007.162
Pond3_Type,N
Pond3Fish4_FishType,green
