,5d9fed70b059bc00165e6917
PlayerDetails,5d9fed70b059bc00165e6917
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 19:32:50 GMT+1100 (Australian Eastern Daylight Time)
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,-1
Pond9Fish1_PondTime,5.814
Pond9Fish1_PondOutcome,0
Pond9Fish1_TotalOutcome,0
Pond9Fish1_TimeLeft,1194.18
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.64
Pond9Fish2_PondTime,12.278
Pond9Fish2_PondOutcome,11
Pond9Fish2_TotalOutcome,11
Pond9Fish2_TimeLeft,1187.715
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.645
Pond9Fish3_PondTime,18.974
Pond9Fish3_PondOutcome,22
Pond9Fish3_TotalOutcome,22
Pond9Fish3_TimeLeft,1181.02
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.788
Pond9Fish4_PondTime,26.096
Pond9Fish4_PondOutcome,33
Pond9Fish4_TotalOutcome,33
Pond9Fish4_TimeLeft,1173.898
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.479
Pond9Fish5_PondTime,33.5
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,44
Pond9Fish5_TimeLeft,1166.494
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,2
Pond9Fish6_PondTime,41.665
Pond9Fish6_PondOutcome,55
Pond9Fish6_TotalOutcome,55
Pond9Fish6_TimeLeft,1158.328
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.818
Pond9Fish7_PondTime,50.185
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,66
Pond9Fish7_TimeLeft,1149.808
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.658
Pond9Fish8_PondTime,59.279
Pond9Fish8_PondOutcome,77
Pond9Fish8_TotalOutcome,77
Pond9Fish8_TimeLeft,1140.715
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.519
Pond9Fish9_PondTime,69.194
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,88
Pond9Fish9_TimeLeft,1130.8
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.948
Pond9Fish10_PondTime,80.425
Pond9Fish10_PondOutcome,99
Pond9Fish10_TotalOutcome,99
Pond9Fish10_TimeLeft,1119.569
Pond9_GiveUpTime,8.213
Pond9_PondTime,88.936
Pond9_PondOutcome,99
Pond9_TotalOutcome,99
Pond9_TimeLeft,1111.058
Pond6IntroTime,12.064195079728961
