,5dccb9a22b1e54935b060464
PlayerDetails,5dccb9a22b1e54935b060464
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,20
RD_BlueFishProbability,0.9
RD_BlueFishOutcome,12
RD_GreenFishProbability,0
RD_GreenFishOutcome,11
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,10
RD_GreyFishProbability,0.1
RD_GreyFishOutcome,2
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0
RT_BlueFishOutcome,12
RT_GreenFishProbability,0
RT_GreenFishOutcome,11
RT_PurpleFishProbability,0.9
RT_PurpleFishOutcome,10
RT_GreyFishProbability,0
RT_GreyFishOutcome,2
N_GoldFishProbability,0
N_GoldFishOutcome,20
N_BlueFishProbability,0
N_BlueFishOutcome,12
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,10
N_GreyFishProbability,0
N_GreyFishOutcome,2
Pond1Type,RD
Pond1FishN,13
Pond2Type,N
Pond2FishN,18
Pond3Type,N
Pond3FishN,12
Pond4Type,RD
Pond4FishN,13
Pond5Type,RT
Pond5FishN,19
Pond6Type,RD
Pond6FishN,15
Pond7Type,N
Pond7FishN,16
Pond8Type,N
Pond8FishN,14
Pond9Type,N
Pond9FishN,17
Pond10Type,N
Pond10FishN,17
Pond11Type,N
Pond11FishN,12
Pond12Type,N
Pond12FishN,15
Date:,Mon Nov 18 2019 17:44:39 GMT+1000 (Australian Eastern Standard Time)
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.013
Pond9Fish1_PondTime,5.631
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1194.366
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.267
Pond9Fish2_PondTime,12.01
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1187.987
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.032
Pond9Fish3_PondTime,18.663
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,33
Pond9Fish3_TimeLeft,1181.334
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.926
Pond9Fish4_PondTime,25.674
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,44
Pond9Fish4_TimeLeft,1174.323
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.682
Pond9Fish5_PondTime,33.077
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,55
Pond9Fish5_TimeLeft,1166.92
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.866
Pond9Fish6_PondTime,40.935
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,66
Pond9Fish6_TimeLeft,1159.062
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.222
Pond9Fish7_PondTime,49.304
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,77
Pond9Fish7_TimeLeft,1150.693
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.73
Pond9Fish8_PondTime,58.364
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,88
Pond9Fish8_TimeLeft,1141.633
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.235
Pond9Fish9_PondTime,68.232
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,99
Pond9Fish9_TimeLeft,1131.764
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.204
Pond9Fish10_PondTime,79.182
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,110
Pond9Fish10_TimeLeft,1120.814
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.943
Pond9Fish11_PondTime,91.586
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,121
Pond9Fish11_TimeLeft,1108.411
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,0.98
Pond9Fish12_PondTime,105.981
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,132
Pond9Fish12_TimeLeft,1094.016
Pond9_GiveUpTime,1.341
Pond9_PondTime,106.911
Pond9_PondOutcome,132
Pond9_TotalOutcome,132
Pond9_TimeLeft,1093.086
Pond3IntroTime,12.196410575415939
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.22
Pond3Fish1_PondTime,22.691
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,143
Pond3Fish1_TimeLeft,1070.395
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.824
Pond3Fish2_PondTime,31.064
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,154
Pond3Fish2_TimeLeft,1062.022
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.326
Pond3Fish3_PondTime,40.105
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,165
Pond3Fish3_TimeLeft,1052.981
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.064
Pond3Fish4_PondTime,50.02
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,176
Pond3Fish4_TimeLeft,1043.066
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,0.979
Pond3Fish5_PondTime,60.981
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,187
Pond3Fish5_TimeLeft,1032.105
Pond3_Type,N
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.163
Pond3Fish6_PondTime,73.356
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,198
Pond3Fish6_TimeLeft,1019.73
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,0.913
Pond3Fish7_PondTime,87.764
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,209
Pond3Fish7_TimeLeft,1005.322
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,0.668
Pond3Fish8_PondTime,105.142
