,566feba6b937e400052d33b2
PlayerDetails,566feba6b937e400052d33b2
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,RT
Pond11_#Fishes,17
Pond7_Type,RD
Pond7_#Fishes,16
Pond10_Type,N
Pond10_#Fishes,19
Pond3_Type,RT
Pond3_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,12
Pond5_Type,RT
Pond5_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:47:47 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.12
Pond11Fish1_PondTime,8.018
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,10
Pond11Fish1_TimeLeft,1194.379
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.08
Pond11Fish2_PondTime,14.378
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,20
Pond11Fish2_TimeLeft,1188.019
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.954
Pond11Fish3_PondTime,21.024
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,30
Pond11Fish3_TimeLeft,1181.373
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.88
Pond11Fish4_PondTime,28.183
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,40
Pond11Fish4_TimeLeft,1174.214
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.98
Pond11Fish5_PondTime,35.547
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,50
Pond11Fish5_TimeLeft,1166.85
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,golden
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.143
Pond11Fish6_PondTime,43.357
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,70
Pond11Fish6_TimeLeft,1159.04
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
