,57c1ab62ffd38700010b4637
PlayerDetails,57c1ab62ffd38700010b4637
GameCompleted,finished
Selected ponds in the game,=======
Pond1_Type,RT
Pond1_#Fishes,15
Pond12_Type,N
Pond12_#Fishes,19
Pond8_Type,RD
Pond8_#Fishes,19
Pond11_Type,N
Pond11_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,17
Pond5_Type,N
Pond5_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:05:32 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,18
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.479
Pond1Fish1_PondTime,8.962
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,10
Pond1Fish1_TimeLeft,1193.436
Type,RT
FishN,18
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.436
Pond1Fish2_PondTime,15.943
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,20
Pond1Fish2_TimeLeft,1186.455
Type,RT
FishN,18
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.949
Pond1Fish3_PondTime,23.594
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,30
Pond1Fish3_TimeLeft,1178.804
Type,RT
FishN,18
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.536
Pond1Fish4_PondTime,31.431
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,40
Pond1Fish4_TimeLeft,1170.967
Type,RT
FishN,18
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.472
Pond1Fish5_PondTime,39.813
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,50
Pond1Fish5_TimeLeft,1162.585
Type,RT
FishN,18
Fish,6
Pond1Fish6_FishType,golden
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.253
Pond1Fish6_PondTime,48.866
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,70
Pond1Fish6_TimeLeft,1153.532
Type,RT
FishN,18
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.533
Pond1Fish7_PondTime,58.758
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,80
Pond1Fish7_TimeLeft,1143.64
Type,RT
FishN,18
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.338
Pond1Fish8_PondTime,69.711
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,90
Pond1Fish8_TimeLeft,1132.687
Type,RT
FishN,18
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.78
Pond1Fish9_PondTime,82.191
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,100
Pond1Fish9_TimeLeft,1120.207
Type,RT
FishN,18
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,1.436
Pond1Fish10_PondTime,96.573
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,110
Pond1Fish10_TimeLeft,1105.825
Type,RT
FishN,18
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,12
Pond1Fish11_CatchTime,1.628
Pond1Fish11_PondTime,113.96
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,120
Pond1Fish11_TimeLeft,1088.438
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,1.26
PondTime,115.05
TimeLeft,1086.845
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,13.294589768629521
Type,N
FishN,18
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.415
Pond12Fish1_PondTime,7.659
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,131
Pond12Fish1_TimeLeft,1065.243
Type,N
FishN,18
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.271
Pond12Fish2_PondTime,13.543
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,142
Pond12Fish2_TimeLeft,1059.359
Type,N
FishN,18
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,1.451
Pond12Fish3_PondTime,19.664
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,153
Pond12Fish3_TimeLeft,1053.238
Type,N
FishN,18
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,1.352
Pond12Fish4_PondTime,26.044
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,164
Pond12Fish4_TimeLeft,1046.858
Type,N
FishN,18
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,1.451
Pond12Fish5_PondTime,32.695
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,175
Pond12Fish5_TimeLeft,1040.207
Type,N
FishN,18
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.477
Pond12Fish6_PondTime,39.692
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,186
Pond12Fish6_TimeLeft,1033.21
Type,N
FishN,18
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,1.484
Pond12Fish7_PondTime,47.057
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,197
Pond12Fish7_TimeLeft,1025.845
Type,N
FishN,18
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,1.49
Pond12Fish8_PondTime,54.894
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,208
