,5bb787e0d2279e0001d00e0b
PlayerDetails,5bb787e0d2279e0001d00e0b
GameCompleted,finished
Selected ponds in the game,=======
Pond2_Type,RD
Pond2_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,18
Pond9_Type,RT
Pond9_#Fishes,17
Pond10_Type,RT
Pond10_#Fishes,19
Pond3_Type,RD
Pond3_#Fishes,15
Pond12_Type,RT
Pond12_#Fishes,19
Pond7_Type,N
Pond7_#Fishes,14
Pond4_Type,RT
Pond4_#Fishes,14
Pond11_Type,N
Pond11_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,14
Pond6_Type,RD
Pond6_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 09:43:17 GMT+0000 (Greenwich Mean Time)
Type,RD
FishN,18
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.619
Pond2Fish1_PondTime,8.462
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,12
Pond2Fish1_TimeLeft,1193.931
Type,RD
FishN,18
Fish,2
Pond2Fish2_FishType,gray
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.973
Pond2Fish2_PondTime,14.592
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,14
Pond2Fish2_TimeLeft,1187.801
Type,RD
FishN,18
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.329
Pond2Fish3_PondTime,21.008
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,26
Pond2Fish3_TimeLeft,1181.385
Type,RD
FishN,18
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.069
Pond2Fish4_PondTime,27.685
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,38
Pond2Fish4_TimeLeft,1174.708
Type,RD
FishN,18
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.696
Pond2Fish5_PondTime,34.73
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,50
Pond2Fish5_TimeLeft,1167.663
Type,RD
FishN,18
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.592
Pond2Fish6_PondTime,42.156
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,62
Pond2Fish6_TimeLeft,1160.237
Type,RD
FishN,18
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.31
Pond2Fish7_PondTime,50.062
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,74
Pond2Fish7_TimeLeft,1152.331
Type,RD
FishN,18
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,1.346
Pond2Fish8_PondTime,58.469
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,86
Pond2Fish8_TimeLeft,1143.924
Type,RD
FishN,18
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,1.264
Pond2Fish9_PondTime,67.552
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,98
Pond2Fish9_TimeLeft,1134.841
Type,RD
FishN,18
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.094
Pond2Fish10_PondTime,77.452
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,110
Pond2Fish10_TimeLeft,1124.941
PondEnd_LastFish,10
FishN,18
Type,RD
GiveUpTime,0.856
PondTime,77.615
TimeLeft,1124.272
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,14.537917918059975
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.644
Pond1Fish1_PondTime,7.907
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,121
Pond1Fish1_TimeLeft,1101.185
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.447
Pond1Fish2_PondTime,14.081
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,132
Pond1Fish2_TimeLeft,1095.011
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.429
Pond1Fish3_PondTime,20.482
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,143
Pond1Fish3_TimeLeft,1088.61
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.869
Pond1Fish4_PondTime,27.35
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,154
Pond1Fish4_TimeLeft,1081.742
Type,N
FishN,18
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.538
Pond1Fish5_PondTime,34.379
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,165
Pond1Fish5_TimeLeft,1074.713
Type,N
FishN,18
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.549
Pond1Fish6_PondTime,41.811
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,176
Pond1Fish6_TimeLeft,1067.281
Type,N
FishN,18
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.416
Pond1Fish7_PondTime,49.712
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,187
Pond1Fish7_TimeLeft,1059.38
Type,N
FishN,18
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.32
Pond1Fish8_PondTime,58.146
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,198
Pond1Fish8_TimeLeft,1050.946
Type,N
FishN,18
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.648
Pond1Fish9_PondTime,67.242
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,209
Pond1Fish9_TimeLeft,1041.85
Type,N
FishN,18
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.912
Pond1Fish10_PondTime,77.368
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,220
Pond1Fish10_TimeLeft,1031.724
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,0.905
PondTime,78.168
TimeLeft,1030.416
PondOutcome,110
TotalOutcome,220
PondStart,PondStart
PondIntroTime,11.144345428328961
Type,RT
FishN,15
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.993
Pond9Fish1_PondTime,8.35
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,230
Pond9Fish1_TimeLeft,1010.311
Type,RT
FishN,15
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,14.784
Pond9Fish2_PondOutcome,10
Pond9Fish2_TotalOutcome,230
Pond9Fish2_TimeLeft,1003.877
Type,RT
FishN,15
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.053
Pond9Fish3_PondTime,21.473
Pond9Fish3_PondOutcome,20
Pond9Fish3_TotalOutcome,240
Pond9Fish3_TimeLeft,997.188
Type,RT
FishN,15
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.291
Pond9Fish4_PondTime,28.521
Pond9Fish4_PondOutcome,30
Pond9Fish4_TotalOutcome,250
Pond9Fish4_TimeLeft,990.14
Type,RT
FishN,15
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.996
Pond9Fish5_PondTime,35.923
Pond9Fish5_PondOutcome,40
Pond9Fish5_TotalOutcome,260
Pond9Fish5_TimeLeft,982.738
Type,RT
FishN,15
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.264
Pond9Fish6_PondTime,43.806
Pond9Fish6_PondOutcome,50
Pond9Fish6_TotalOutcome,270
Pond9Fish6_TimeLeft,974.855
Type,RT
FishN,15
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.087
Pond9Fish7_PondTime,52.224
Pond9Fish7_PondOutcome,60
Pond9Fish7_TotalOutcome,280
Pond9Fish7_TimeLeft,966.437
Type,RT
FishN,15
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.264
Pond9Fish8_PondTime,61.321
Pond9Fish8_PondOutcome,70
Pond9Fish8_TotalOutcome,290
Pond9Fish8_TimeLeft,957.34
Type,RT
FishN,15
Fish,9
Pond9Fish9_FishType,golden
