,5bdd7b8eab164500016355ef
PlayerDetails,5bdd7b8eab164500016355ef
GameCompleted,finished
Selected ponds in the game,=======
Pond4_Type,RT
Pond4_#Fishes,12
Pond5_Type,RD
Pond5_#Fishes,16
Pond11_Type,RT
Pond11_#Fishes,19
Pond12_Type,N
Pond12_#Fishes,18
Pond8_Type,RT
Pond8_#Fishes,13
Pond10_Type,N
Pond10_#Fishes,12
Pond3_Type,RD
Pond3_#Fishes,12
Pond2_Type,RD
Pond2_#Fishes,19
Pond9_Type,RT
Pond9_#Fishes,15
Pond6_Type,RD
Pond6_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,12
Pond7_Type,N
Pond7_#Fishes,12
Pond12_Type,N
Pond12_#Fishes,13
Pond5_Type,RT
Pond5_#Fishes,18
Pond9_Type,RT
Pond9_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:26:12 GMT+0100 (közép-európai téli idő)
Type,RT
FishN,19
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,-1
Pond4Fish1_PondTime,9.847
Pond4Fish1_PondOutcome,0
Pond4Fish1_TotalOutcome,0
Pond4Fish1_TimeLeft,1192.551
Type,RT
FishN,19
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,18.284
Pond4Fish2_PondOutcome,0
Pond4Fish2_TotalOutcome,0
Pond4Fish2_TimeLeft,1184.114
Type,RT
FishN,19
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,-1
Pond4Fish3_PondTime,27.387
Pond4Fish3_PondOutcome,0
Pond4Fish3_TotalOutcome,0
Pond4Fish3_TimeLeft,1175.011
Type,RT
FishN,19
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,1.812
Pond4Fish4_PondTime,37.49
Pond4Fish4_PondOutcome,10
Pond4Fish4_TotalOutcome,10
Pond4Fish4_TimeLeft,1164.908
Type,RT
FishN,19
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.737
Pond4Fish5_PondTime,48.471
Pond4Fish5_PondOutcome,20
Pond4Fish5_TotalOutcome,20
Pond4Fish5_TimeLeft,1153.927
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,1.474
PondTime,48.883
TimeLeft,1153.011
PondOutcome,20
TotalOutcome,20
PondStart,PondStart
PondIntroTime,14.444182005245239
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.647
Pond5Fish1_PondTime,8.316
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,32
Pond5Fish1_TimeLeft,1129.626
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.803
Pond5Fish2_PondTime,14.984
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,44
Pond5Fish2_TimeLeft,1122.958
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.783
Pond5Fish3_PondTime,21.97
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,56
Pond5Fish3_TimeLeft,1115.972
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.81
Pond5Fish4_PondTime,29.366
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,68
Pond5Fish4_TimeLeft,1108.576
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,gray
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.417
Pond5Fish5_PondTime,37.208
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,70
Pond5Fish5_TimeLeft,1100.733
PondEnd_LastFish,5
FishN,16
Type,RD
GiveUpTime,2.189
PondTime,39.013
TimeLeft,1098.426
PondOutcome,50
TotalOutcome,70
PondStart,PondStart
PondIntroTime,19.643373708240688
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,0.882
Pond11Fish1_PondTime,7.608
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,80
Pond11Fish1_TimeLeft,1070.545
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,0.739
Pond11Fish2_PondTime,13.512
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,90
Pond11Fish2_TimeLeft,1064.641
Type,RT
FishN,15
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,0.651
Pond11Fish3_PondTime,19.637
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,100
Pond11Fish3_TimeLeft,1058.516
Type,RT
FishN,15
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,0.861
Pond11Fish4_PondTime,26
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,110
Pond11Fish4_TimeLeft,1052.152
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,0.81
Pond11Fish5_PondTime,32.643
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,120
Pond11Fish5_TimeLeft,1045.51
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,0.605
Pond11Fish6_PondTime,39.657
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,130
Pond11Fish6_TimeLeft,1038.496
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,0.713
Pond11Fish7_PondTime,47.017
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,140
Pond11Fish7_TimeLeft,1031.136
PondEnd_LastFish,7
FishN,19
Type,RT
GiveUpTime,0.632
PondTime,54.428
TimeLeft,1023.219
PondOutcome,70
TotalOutcome,140
PondStart,PondStart
PondIntroTime,10.890370651613921
Type,N
FishN,18
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.823
Pond12Fish1_PondTime,7.834
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,151
Pond12Fish1_TimeLeft,1003.861
Type,N
FishN,18
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.659
