,5d1005df9b7ef700184e458d
PlayerDetails,5d1005df9b7ef700184e458d
GameCompleted,finished
Selected ponds in the game,=======
Pond3_Type,RT
Pond3_#Fishes,14
Pond9_Type,RD
Pond9_#Fishes,15
Pond4_Type,RD
Pond4_#Fishes,15
Pond12_Type,RD
Pond12_#Fishes,14
Pond8_Type,N
Pond8_#Fishes,15
Pond5_Type,RD
Pond5_#Fishes,19
Pond7_Type,RD
Pond7_#Fishes,16
Pond1_Type,N
Pond1_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 09:28:26 GMT+0000 (Greenwich Mean Time)
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.123
Pond3Fish1_PondTime,8.884
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,10
Pond3Fish1_TimeLeft,1193.515
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.856
Pond3Fish2_PondTime,16.266
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,20
Pond3Fish2_TimeLeft,1186.133
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.94
Pond3Fish3_PondTime,24.093
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,30
Pond3Fish3_TimeLeft,1178.306
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.955
Pond3Fish4_PondTime,32.459
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,40
Pond3Fish4_TimeLeft,1169.94
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,-1
Pond3Fish5_PondTime,41.56
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,40
Pond3Fish5_TimeLeft,1160.839
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.777
Pond3Fish6_PondTime,51.427
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,50
Pond3Fish6_TimeLeft,1150.972
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.921
Pond3Fish7_PondTime,62.363
Pond3Fish7_PondOutcome,60
Pond3Fish7_TotalOutcome,60
Pond3Fish7_TimeLeft,1140.036
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.272
Pond3Fish8_PondTime,74.738
Pond3Fish8_PondOutcome,70
Pond3Fish8_TotalOutcome,70
Pond3Fish8_TimeLeft,1127.661
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,0.654
Pond3Fish9_PondTime,89.123
Pond3Fish9_PondOutcome,80
Pond3Fish9_TotalOutcome,80
Pond3Fish9_TimeLeft,1113.276
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,0.892
Pond3Fish10_PondTime,106.503
Pond3Fish10_PondOutcome,90
Pond3Fish10_TotalOutcome,90
Pond3Fish10_TimeLeft,1095.896
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,15
Pond3Fish11_CatchTime,0.735
Pond3Fish11_PondTime,128.878
Pond3Fish11_PondOutcome,100
Pond3Fish11_TotalOutcome,100
Pond3Fish11_TimeLeft,1073.521
PondEnd_LastFish,11
FishN,14
Type,RT
GiveUpTime,2.141
PondTime,129.962
TimeLeft,1071.934
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,11.042943000793457
Type,RD
FishN,15
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.283
Pond9Fish1_PondTime,8.567
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,112
Pond9Fish1_TimeLeft,1051.704
Type,RD
FishN,15
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.915
Pond9Fish2_PondTime,15.555
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,124
Pond9Fish2_TimeLeft,1044.716
Type,RD
FishN,15
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.779
Pond9Fish3_PondTime,22.92
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,136
Pond9Fish3_TimeLeft,1037.351
Type,RD
FishN,15
Fish,4
Pond9Fish4_FishType,gray
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.838
Pond9Fish4_PondTime,30.756
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,138
Pond9Fish4_TimeLeft,1029.515
Type,RD
FishN,15
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.781
Pond9Fish5_PondTime,39.119
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,150
Pond9Fish5_TimeLeft,1021.152
Type,RD
FishN,15
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.931
Pond9Fish6_PondTime,48.152
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,162
Pond9Fish6_TimeLeft,1012.119
Type,RD
FishN,15
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.696
Pond9Fish7_PondTime,58.021
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,174
Pond9Fish7_TimeLeft,1002.25
Type,RD
FishN,15
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.026
Pond9Fish8_PondTime,68.958
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,186
Pond9Fish8_TimeLeft,991.313
Type,RD
FishN,15
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,0.736
Pond9Fish9_PondTime,81.323
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,198
Pond9Fish9_TimeLeft,978.947
Type,RD
FishN,15
Fish,10
