,5d2926ffb798d8001a81e971
PlayerDetails,5d2926ffb798d8001a81e971
GameCompleted,finished
Selected ponds in the game,=======
Pond6_Type,RD
Pond6_#Fishes,14
Pond1_Type,N
Pond1_#Fishes,15
Pond12_Type,N
Pond12_#Fishes,15
Pond10_Type,RD
Pond10_#Fishes,16
Pond8_Type,RD
Pond8_#Fishes,13
Pond4_Type,RT
Pond4_#Fishes,14
Pond7_Type,RD
Pond7_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,17
Pond5_Type,RD
Pond5_#Fishes,15
Pond2_Type,RD
Pond2_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 19:34:58 GMT+1000 (Australian Eastern Standard Time)
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,gray
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.163
Pond6Fish1_PondTime,8.916
Pond6Fish1_PondOutcome,2
Pond6Fish1_TotalOutcome,2
Pond6Fish1_TimeLeft,1193.479
Type,RD
FishN,15
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.172
Pond6Fish2_PondTime,16.284
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,14
Pond6Fish2_TimeLeft,1186.112
Type,RD
FishN,15
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.243
Pond6Fish3_PondTime,24.166
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,26
Pond6Fish3_TimeLeft,1178.229
Type,RD
FishN,15
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,1.609
Pond6Fish4_PondTime,32.527
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,38
Pond6Fish4_TimeLeft,1169.869
Type,RD
FishN,15
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.667
Pond6Fish5_PondTime,41.553
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,50
Pond6Fish5_TimeLeft,1160.843
Type,RD
FishN,15
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.372
Pond6Fish6_PondTime,51.418
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,62
Pond6Fish6_TimeLeft,1150.977
Type,RD
FishN,15
Fish,7
Pond6Fish7_FishType,gray
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.268
Pond6Fish7_PondTime,62.443
Pond6Fish7_PondOutcome,64
Pond6Fish7_TotalOutcome,64
Pond6Fish7_TimeLeft,1139.953
Type,RD
FishN,15
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.333
Pond6Fish8_PondTime,74.908
Pond6Fish8_PondOutcome,76
Pond6Fish8_TotalOutcome,76
