,5d3a286034acef001ceb73ac
PlayerDetails,5d3a286034acef001ceb73ac
GameCompleted,finished
Selected ponds in the game,=======
Pond11_Type,N
Pond11_#Fishes,18
Pond12_Type,N
Pond12_#Fishes,19
Pond1_Type,N
Pond1_#Fishes,14
Pond3_Type,RT
Pond3_#Fishes,16
Pond5_Type,RT
Pond5_#Fishes,14
Pond9_Type,RT
Pond9_#Fishes,17
Pond6_Type,RT
Pond6_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 09:23:03 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,15
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.126
Pond11Fish1_PondTime,7.8
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,11
Pond11Fish1_TimeLeft,1194.598
Type,N
FishN,15
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.828
Pond11Fish2_PondTime,13.933
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,22
Pond11Fish2_TimeLeft,1188.466
Type,N
FishN,15
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.884
Pond11Fish3_PondTime,20.303
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,33
Pond11Fish3_TimeLeft,1182.096
Type,N
FishN,15
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.887
Pond11Fish4_PondTime,26.96
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,44
Pond11Fish4_TimeLeft,1175.439
Type,N
FishN,15
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.886
Pond11Fish5_PondTime,33.948
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,55
Pond11Fish5_TimeLeft,1168.451
Type,N
FishN,15
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.039
Pond11Fish6_PondTime,41.328
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,66
Pond11Fish6_TimeLeft,1161.071
Type,N
FishN,15
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.904
Pond11Fish7_PondTime,49.147
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,77
Pond11Fish7_TimeLeft,1153.252
Type,N
FishN,15
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.893
Pond11Fish8_PondTime,57.513
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,88
Pond11Fish8_TimeLeft,1144.886
Type,N
FishN,15
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.924
Pond11Fish9_PondTime,66.545
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,99
Pond11Fish9_TimeLeft,1135.854
Type,N
FishN,15
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.01
Pond11Fish10_PondTime,76.417
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,110
Pond11Fish10_TimeLeft,1125.982
Type,N
FishN,15
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,1.017
Pond11Fish11_PondTime,87.367
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,121
Pond11Fish11_TimeLeft,1115.032
Type,N
FishN,15
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,0.77
Pond11Fish12_PondTime,99.738
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,132
Pond11Fish12_TimeLeft,1102.661
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,0.774
PondTime,113.737
TimeLeft,1088.153
PondOutcome,132
TotalOutcome,132
PondStart,PondStart
PondIntroTime,18.058085932862014
