,5d418fed1cad4d00015e2d1b
PlayerDetails,5d418fed1cad4d00015e2d1b
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,17
Pond2_Type,RD
Pond2_#Fishes,18
Pond12_Type,RD
Pond12_#Fishes,15
Pond3_Type,RD
Pond3_#Fishes,16
Pond4_Type,RT
Pond4_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,12
Pond10_Type,RT
Pond10_#Fishes,12
Pond6_Type,RD
Pond6_#Fishes,15
Pond8_Type,RT
Pond8_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,15
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:19:09 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.5294117647058822
Pond5Fish1_CatchTime,1.054
Pond5Fish1_PondTime,8.06
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,11
Pond5Fish1_TimeLeft,1194.338
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.061
Pond5Fish2_PondTime,14.451
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,22
Pond5Fish2_TimeLeft,1187.948
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,1.114
Pond5Fish3_PondTime,21.138
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,33
Pond5Fish3_TimeLeft,1181.261
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,0.952
Pond5Fish4_PondTime,28.154
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,44
Pond5Fish4_TimeLeft,1174.245
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.608
Pond5Fish5_PondTime,35.56
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,55
Pond5Fish5_TimeLeft,1166.839
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.189
Pond5Fish6_PondTime,43.42
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,66
Pond5Fish6_TimeLeft,1158.979
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.109
Pond5Fish7_PondTime,51.826
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,77
Pond5Fish7_TimeLeft,1150.573
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.371
Pond5Fish8_PondTime,60.888
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,88
Pond5Fish8_TimeLeft,1141.51
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,1.351
Pond5Fish9_PondTime,70.795
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,99
Pond5Fish9_TimeLeft,1131.604
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,1.047
Pond5Fish10_PondTime,81.779
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,110
Pond5Fish10_TimeLeft,1120.62
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,1.094
Pond5Fish11_PondTime,94.171
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,121
Pond5Fish11_TimeLeft,1108.228
Type,N
FishN,12
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,1.093
Pond5Fish12_PondTime,108.561
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,132
Pond5Fish12_TimeLeft,1093.838
Type,N
FishN,12
Fish,13
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,12
Pond5Fish13_CatchTime,1.407
Pond5Fish13_PondTime,125.952
Pond5Fish13_PondOutcome,143
Pond5Fish13_TotalOutcome,143
Pond5Fish13_TimeLeft,1076.447
PondEnd_LastFish,13
FishN,17
Type,N
GiveUpTime,15.337
PondTime,140.893
TimeLeft,1060.997
PondOutcome,143
TotalOutcome,143
PondStart,PondStart
PondIntroTime,19.259833067189902
Type,RD
FishN,18
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.908
Pond2Fish1_PondTime,7.845
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,155
Pond2Fish1_TimeLeft,1033.243
Type,RD
FishN,18
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.894
Pond2Fish2_PondTime,13.997
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,167
Pond2Fish2_TimeLeft,1027.092
Type,RD
FishN,18
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.756
Pond2Fish3_PondTime,20.393
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,179
Pond2Fish3_TimeLeft,1020.696
Type,RD
FishN,18
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.917
Pond2Fish4_PondTime,27.064
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,191
Pond2Fish4_TimeLeft,1014.025
Type,RD
FishN,18
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,1.324
Pond2Fish5_PondTime,34.08
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,203
Pond2Fish5_TimeLeft,1007.009
Type,RD
FishN,18
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.068
Pond2Fish6_PondTime,41.471
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,215
Pond2Fish6_TimeLeft,999.618
Type,RD
FishN,18
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.454
Pond2Fish7_PondTime,49.33
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,227
Pond2Fish7_TimeLeft,991.759
Type,RD
FishN,18
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.975
Pond2Fish8_PondTime,57.737
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,239
Pond2Fish8_TimeLeft,983.352
Type,RD
FishN,18
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,1.122
Pond2Fish9_PondTime,66.799
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,251
Pond2Fish9_TimeLeft,974.29
Type,RD
FishN,18
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.914
Pond2Fish10_PondTime,76.69
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,263
Pond2Fish10_TimeLeft,964.399
Type,RD
FishN,18
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,0.823
Pond2Fish11_PondTime,87.674
Pond2Fish11_PondOutcome,132
Pond2Fish11_TotalOutcome,275
Pond2Fish11_TimeLeft,953.415
Type,RD
FishN,18
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.059
Pond2Fish12_PondTime,100.066
Pond2Fish12_PondOutcome,144
Pond2Fish12_TotalOutcome,287
Pond2Fish12_TimeLeft,941.023
Type,RD
FishN,18
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,1.202
Pond2Fish13_PondTime,114.471
Pond2Fish13_PondOutcome,156
Pond2Fish13_TotalOutcome,299
Pond2Fish13_TimeLeft,926.618
Type,RD
FishN,18
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,12
Pond2Fish14_CatchTime,1.122
Pond2Fish14_PondTime,131.878
Pond2Fish14_PondOutcome,168
Pond2Fish14_TotalOutcome,311
Pond2Fish14_TimeLeft,909.211
Type,RD
FishN,18
Fish,15
Pond2Fish15_FishType,gray
Pond2Fish15_FishLatency,15
Pond2Fish15_CatchTime,-1
Pond2Fish15_PondTime,154.332
Pond2Fish15_PondOutcome,168
Pond2Fish15_TotalOutcome,311
Pond2Fish15_TimeLeft,886.757
PondEnd_LastFish,15
FishN,18
Type,RD
GiveUpTime,52.003
PondTime,183.19
TimeLeft,857.383
PondOutcome,168
TotalOutcome,311
PondStart,PondStart
PondIntroTime,17.04299814766273
Type,RD
FishN,18
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.873
Pond12Fish1_PondTime,10.499
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,323
Pond12Fish1_TimeLeft,828.724
Type,RD
FishN,18
Fish,2
Pond12Fish2_FishType,gray
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.914
Pond12Fish2_PondTime,17.514
Pond12Fish2_PondOutcome,14
Pond12Fish2_TotalOutcome,325
Pond12Fish2_TimeLeft,821.709
Type,RD
FishN,18
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.209
Pond12Fish3_PondTime,24.905
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,337
Pond12Fish3_TimeLeft,814.317
Type,RD
FishN,18
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.889
Pond12Fish4_PondTime,32.78
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,349
Pond12Fish4_TimeLeft,806.443
Type,RD
FishN,18
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.883
Pond12Fish5_PondTime,41.17
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,361
Pond12Fish5_TimeLeft,798.053
Type,RD
FishN,18
Fish,6
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.828
Pond12Fish6_PondTime,51.177
Pond12Fish6_PondOutcome,52
Pond12Fish6_TotalOutcome,363
Pond12Fish6_TimeLeft,788.046
Type,RD
FishN,18
Fish,7
Pond12Fish7_FishType,gray
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.965
Pond12Fish7_PondTime,62.649
Pond12Fish7_PondOutcome,54
Pond12Fish7_TotalOutcome,365
Pond12Fish7_TimeLeft,776.572
Type,RD
FishN,18
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.718
Pond12Fish8_PondTime,75.087
Pond12Fish8_PondOutcome,66
Pond12Fish8_TotalOutcome,377
Pond12Fish8_TimeLeft,764.136
Type,RD
FishN,18
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
