,5d5b9a34a69ee6000143803d
PlayerDetails,5d5b9a34a69ee6000143803d
GameCompleted,finished
Selected ponds in the game,=======
Pond9_Type,RT
Pond9_#Fishes,18
Pond5_Type,RT
Pond5_#Fishes,16
Pond4_Type,N
Pond4_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 09:27:21 GMT+0000 (GMT)
Type,RT
FishN,15
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.895
Pond9Fish1_PondTime,7.817
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,10
Pond9Fish1_TimeLeft,1194.58
Type,RT
FishN,15
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,0.766
Pond9Fish2_PondTime,13.942
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,20
Pond9Fish2_TimeLeft,1188.456
Type,RT
FishN,15
Fish,3
Pond9Fish3_FishType,golden
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,0.721
Pond9Fish3_PondTime,20.325
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,40
Pond9Fish3_TimeLeft,1182.073
Type,RT
FishN,15
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.91
Pond9Fish4_PondTime,26.983
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,50
Pond9Fish4_TimeLeft,1175.415
Type,RT
FishN,15
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.587
Pond9Fish5_PondTime,33.971
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1168.427
Type,RT
FishN,15
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.814
Pond9Fish6_PondTime,41.348
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,70
Pond9Fish6_TimeLeft,1161.049
Type,RT
FishN,15
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.736
Pond9Fish7_PondTime,49.174
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,80
Pond9Fish7_TimeLeft,1153.224
Type,RT
FishN,15
Fish,8
Pond9Fish8_FishType,golden
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.672
Pond9Fish8_PondTime,57.55
Pond9Fish8_PondOutcome,100
Pond9Fish8_TotalOutcome,100
Pond9Fish8_TimeLeft,1144.848
PondEnd_LastFish,8
FishN,18
Type,RT
GiveUpTime,0.455
PondTime,66.091
TimeLeft,1135.794
PondOutcome,100
TotalOutcome,100
PondStart,PondStart
PondIntroTime,19.716675584204495
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.848
Pond5Fish1_PondTime,8.306
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,110
Pond5Fish1_TimeLeft,1104.641
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.822
Pond5Fish2_PondTime,14.989
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,120
Pond5Fish2_TimeLeft,1097.959
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.274
Pond5Fish3_PondTime,21.98
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,130
Pond5Fish3_TimeLeft,1090.968
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.755
Pond5Fish4_PondTime,29.363
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,140
Pond5Fish4_TimeLeft,1083.584
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.672
Pond5Fish5_PondTime,37.197
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,150
Pond5Fish5_TimeLeft,1075.751
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.737
Pond5Fish6_PondTime,45.572
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,160
Pond5Fish6_TimeLeft,1067.376
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.823
Pond5Fish7_PondTime,54.614
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,170
Pond5Fish7_TimeLeft,1058.334
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.76
Pond5Fish8_PondTime,64.489
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,180
Pond5Fish8_TimeLeft,1048.458
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.757
Pond5Fish9_PondTime,75.436
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,190
Pond5Fish9_TimeLeft,1037.512
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.855
Pond5Fish10_PondTime,87.815
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,200
Pond5Fish10_TimeLeft,1025.133
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,0.72
Pond5Fish11_PondTime,102.193
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,210
Pond5Fish11_TimeLeft,1010.755
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,0.983
Pond5Fish12_PondTime,119.571
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,220
Pond5Fish12_TimeLeft,993.377
Type,RT
FishN,12
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,1.643
Pond5Fish13_PondTime,141.948
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,230
Pond5Fish13_TimeLeft,970.999
Type,RT
FishN,12
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,20
Pond5Fish14_CatchTime,0.84
Pond5Fish14_PondTime,174.324
Pond5Fish14_PondOutcome,140
Pond5Fish14_TotalOutcome,240
Pond5Fish14_TimeLeft,938.624
Type,RT
FishN,12
Fish,15
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,30
Pond5Fish15_CatchTime,-1
Pond5Fish15_PondTime,236.755
Pond5Fish15_PondOutcome,140
Pond5Fish15_TotalOutcome,240
Pond5Fish15_TimeLeft,876.193
Type,RT
FishN,12
Fish,16
Pond5Fish16_FishType,purple
Pond5Fish16_FishLatency,60
Pond5Fish16_CatchTime,0.939
Pond5Fish16_PondTime,239.124
Pond5Fish16_PondOutcome,150
Pond5Fish16_TotalOutcome,250
Pond5Fish16_TimeLeft,873.823
PondEnd_LastFish,16
FishN,16
Type,RT
GiveUpTime,100.554
PondTime,338.825
TimeLeft,773.61
PondOutcome,150
TotalOutcome,250
PondStart,PondStart
PondIntroTime,11.737075818236917
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.175
Pond4Fish1_PondTime,9.291
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,261
Pond4Fish1_TimeLeft,751.946
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.481
Pond4Fish2_PondTime,17.13
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,272
Pond4Fish2_TimeLeft,744.107
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.812
Pond4Fish3_PondTime,25.519
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,283
Pond4Fish3_TimeLeft,735.719
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.013
Pond4Fish4_PondTime,34.568
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,294
Pond4Fish4_TimeLeft,726.669
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.943
Pond4Fish5_PondTime,44.458
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,305
Pond4Fish5_TimeLeft,716.779
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.03
