,5d8b8f538e6bab001b877ad7
PlayerDetails,5d8b8f538e6bab001b877ad7
GameCompleted,finished
Selected ponds in the game,=======
Pond7_Type,N
Pond7_#Fishes,14
Pond5_Type,RT
Pond5_#Fishes,13
Pond4_Type,RD
Pond4_#Fishes,16
Pond12_Type,N
Pond12_#Fishes,17
Pond11_Type,N
Pond11_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,17
Pond1_Type,RT
Pond1_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,13
Pond8_Type,N
Pond8_#Fishes,18
Pond10_Type,RD
Pond10_#Fishes,13
Pond3_Type,RD
Pond3_#Fishes,17
Pond11_Type,RT
Pond11_#Fishes,17
Pond1_Type,RD
Pond1_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 10:22:39 GMT+0100 (czas środkowoeuropejski standardowy)
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.885
Pond7Fish1_PondTime,8.891
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,11
Pond7Fish1_TimeLeft,1193.506
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.838
Pond7Fish2_PondTime,16.259
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,22
Pond7Fish2_TimeLeft,1186.139
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.059
Pond7Fish3_PondTime,24.081
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,33
Pond7Fish3_TimeLeft,1178.317
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.701
Pond7Fish4_PondTime,32.439
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,44
Pond7Fish4_TimeLeft,1169.958
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.721
Pond7Fish5_PondTime,41.467
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,55
Pond7Fish5_TimeLeft,1160.931
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.878
Pond7Fish6_PondTime,51.325
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,66
Pond7Fish6_TimeLeft,1151.073
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.08
Pond7Fish7_PondTime,62.255
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,77
Pond7Fish7_TimeLeft,1140.143
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.897
Pond7Fish8_PondTime,74.616
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,88
Pond7Fish8_TimeLeft,1127.782
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,0.634
PondTime,88.732
TimeLeft,1113.16
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,16.820579760242254
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.947
Pond5Fish1_PondTime,9.271
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,98
Pond5Fish1_TimeLeft,1086.439
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,golden
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.611
Pond5Fish2_PondTime,17.096
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,118
Pond5Fish2_TimeLeft,1078.613
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.802
Pond5Fish3_PondTime,25.47
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,128
Pond5Fish3_TimeLeft,1070.24
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.769
Pond5Fish4_PondTime,34.496
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,138
Pond5Fish4_TimeLeft,1061.214
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.657
Pond5Fish5_PondTime,44.356
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,148
Pond5Fish5_TimeLeft,1051.353
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.781
Pond5Fish6_PondTime,55.284
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,158
Pond5Fish6_TimeLeft,1040.426
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.855
Pond5Fish7_PondTime,67.647
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,168
Pond5Fish7_TimeLeft,1028.063
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,0.72
Pond5Fish8_PondTime,82.011
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,178
Pond5Fish8_TimeLeft,1013.699
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,0.991
Pond5Fish9_PondTime,99.378
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,188
Pond5Fish9_TimeLeft,996.331
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,0.588
PondTime,121.356
TimeLeft,973.851
PondOutcome,100
TotalOutcome,188
PondStart,PondStart
PondIntroTime,19.25425323890522
Type,RD
FishN,19
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.222
Pond4Fish1_PondTime,8.272
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,200
Pond4Fish1_TimeLeft,945.697
Type,RD
FishN,19
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.783
Pond4Fish2_PondTime,14.913
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,212
Pond4Fish2_TimeLeft,939.056
Type,RD
FishN,19
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.753
Pond4Fish3_PondTime,21.885
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,224
Pond4Fish3_TimeLeft,932.084
Type,RD
FishN,19
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.723
Pond4Fish4_PondTime,29.243
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,236
Pond4Fish4_TimeLeft,924.726
Type,RD
FishN,19
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,0.848
Pond4Fish5_PondTime,37.069
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,248
Pond4Fish5_TimeLeft,916.9
Type,RD
FishN,19
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.74
Pond4Fish6_PondTime,45.427
Pond4Fish6_PondOutcome,72
