,5d8da31a1c90470017f38d06
PlayerDetails,5d8da31a1c90470017f38d06
GameCompleted,declined
Selected ponds in the game,=======
Pond9_Type,RD
Pond9_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,13
Pond2_Type,RD
Pond2_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,18
Pond1_Type,RT
Pond1_#Fishes,12
Pond11_Type,RD
Pond11_#Fishes,15
Pond12_Type,N
Pond12_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,12
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sat Jan 18 2020 01:21:58 GMT-0800 (Pacific Standard Time)
Type,RD
FishN,15
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.572
Pond9Fish1_PondTime,7.682
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,12
Pond9Fish1_TimeLeft,1194.716
Type,RD
FishN,15
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.692
Pond9Fish2_PondTime,13.593
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,24
Pond9Fish2_TimeLeft,1188.804
Type,RD
FishN,15
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.396
Pond9Fish3_PondTime,19.707
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,36
Pond9Fish3_TimeLeft,1182.691
Type,RD
FishN,15
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.995
Pond9Fish4_PondTime,26.066
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,48
Pond9Fish4_TimeLeft,1176.332
Type,RD
FishN,15
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.623
Pond9Fish5_PondTime,32.727
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,60
Pond9Fish5_TimeLeft,1169.671
Type,RD
FishN,15
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.584
Pond9Fish6_PondTime,39.72
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,72
Pond9Fish6_TimeLeft,1162.678
Type,RD
FishN,15
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.761
Pond9Fish7_PondTime,47.159
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,84
Pond9Fish7_TimeLeft,1155.239
Type,RD
FishN,15
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.373
Pond9Fish8_PondTime,54.989
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,96
Pond9Fish8_TimeLeft,1147.409
Type,RD
FishN,15
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.29
Pond9Fish9_PondTime,63.363
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,108
Pond9Fish9_TimeLeft,1139.035
Type,RD
FishN,15
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.237
Pond9Fish10_PondTime,72.404
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,120
Pond9Fish10_TimeLeft,1129.994
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,1.004
PondTime,72.853
TimeLeft,1129.041
PondOutcome,120
TotalOutcome,120
PondStart,PondStart
PondIntroTime,19.671865205746144
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.171
Pond3Fish1_PondTime,9.266
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,131
Pond3Fish1_TimeLeft,1099.484
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.433
Pond3Fish2_PondTime,17.084
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,142
Pond3Fish2_TimeLeft,1091.666
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,1.94
Pond3Fish3_PondTime,25.705
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,153
Pond3Fish3_TimeLeft,1083.045
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.15
Pond3Fish4_PondTime,34.732
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,164
Pond3Fish4_TimeLeft,1074.018
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.492
Pond3Fish5_PondTime,44.606
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,175
Pond3Fish5_TimeLeft,1064.144
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,1.132
Pond3Fish6_PondTime,55.561
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,186
Pond3Fish6_TimeLeft,1053.189
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.242
Pond3Fish7_PondTime,67.932
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,197
Pond3Fish7_TimeLeft,1040.818
PondEnd_LastFish,7
FishN,13
Type,N
GiveUpTime,13.013
PondTime,80.389
TimeLeft,1027.856
PondOutcome,77
TotalOutcome,197
PondStart,PondStart
PondIntroTime,16.989790075458586
Type,RD
FishN,18
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.996
Pond2Fish1_PondTime,7.908
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,209
Pond2Fish1_TimeLeft,1002.327
Type,RD
FishN,18
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,13.867
Pond2Fish2_PondOutcome,12
Pond2Fish2_TotalOutcome,209
Pond2Fish2_TimeLeft,996.368
Type,RD
FishN,18
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.171
Pond2Fish3_PondTime,19.982
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,221
Pond2Fish3_TimeLeft,990.253
Type,RD
FishN,18
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.539
Pond2Fish4_PondTime,26.342
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,233
Pond2Fish4_TimeLeft,983.893
Type,RD
FishN,18
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.106
Pond2Fish5_PondTime,32.985
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,245
Pond2Fish5_TimeLeft,977.25
Type,RD
FishN,18
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.557
Pond2Fish6_PondTime,39.961
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,257
Pond2Fish6_TimeLeft,970.274
Type,RD
FishN,18
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.268
Pond2Fish7_PondTime,47.319
Pond2Fish7_PondOutcome,72
Pond2Fish7_TotalOutcome,269
Pond2Fish7_TimeLeft,962.916
Type,RD
FishN,18
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.334
Pond2Fish8_PondTime,55.147
Pond2Fish8_PondOutcome,84
Pond2Fish8_TotalOutcome,281
Pond2Fish8_TimeLeft,955.088
Type,RD
FishN,18
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.21
Pond2Fish9_PondTime,63.522
Pond2Fish9_PondOutcome,96
Pond2Fish9_TotalOutcome,293
Pond2Fish9_TimeLeft,946.713
Type,RD
FishN,18
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,1.305
Pond2Fish10_PondTime,72.563
Pond2Fish10_PondOutcome,108
Pond2Fish10_TotalOutcome,305
Pond2Fish10_TimeLeft,937.672
Type,RD
FishN,18
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,-1
Pond2Fish11_PondTime,82.498
Pond2Fish11_PondOutcome,108
Pond2Fish11_TotalOutcome,305
Pond2Fish11_TimeLeft,927.737
Type,RD
FishN,18
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,1.38
Pond2Fish12_PondTime,93.442
Pond2Fish12_PondOutcome,120
Pond2Fish12_TotalOutcome,317
Pond2Fish12_TimeLeft,916.793
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,1.936
PondTime,94.971
TimeLeft,914.755
PondOutcome,120
TotalOutcome,317
PondStart,PondStart
PondIntroTime,18.919987436383963
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.333
Pond5Fish1_PondTime,7.814
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,329
Pond5Fish1_TimeLeft,887.406
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.154
Pond5Fish2_PondTime,13.924
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,341
Pond5Fish2_TimeLeft,881.295
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.525
Pond5Fish3_PondTime,20.282
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,353
Pond5Fish3_TimeLeft,874.938
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.158
Pond5Fish4_PondTime,26.943
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,365
Pond5Fish4_TimeLeft,868.277
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.5
Pond5Fish5_PondTime,33.936
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,377
Pond5Fish5_TimeLeft,861.284
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,1.707
Pond5Fish6_PondTime,41.326
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,389
Pond5Fish6_TimeLeft,853.894
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.049
Pond5Fish7_PondTime,49.152
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,401
Pond5Fish7_TimeLeft,846.068
PondEnd_LastFish,7
FishN,18
Type,RD
GiveUpTime,1.429
PondTime,49.845
TimeLeft,844.872
PondOutcome,84
TotalOutcome,401
PondStart,PondStart
PondIntroTime,15.403909515589476
Type,RT
FishN,18
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,9.806
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,401
Pond1Fish1_TimeLeft,819.047
Type,RT
FishN,18
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.573
Pond1Fish2_PondTime,18.196
Pond1Fish2_PondOutcome,10
Pond1Fish2_TotalOutcome,411
Pond1Fish2_TimeLeft,810.657
Type,RT
FishN,18
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.235
Pond1Fish3_PondTime,27.242
Pond1Fish3_PondOutcome,20
Pond1Fish3_TotalOutcome,421
Pond1Fish3_TimeLeft,801.611
Type,RT
FishN,18
Fish,4
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.353
Pond1Fish4_PondTime,37.111
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,441
Pond1Fish4_TimeLeft,791.742
Type,RT
FishN,18
Fish,5
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.226
Pond1Fish5_PondTime,48.052
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,461
Pond1Fish5_TimeLeft,780.8
Type,RT
FishN,18
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,60.472
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,461
Pond1Fish6_TimeLeft,768.381
Type,RT
FishN,18
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.182
Pond1Fish7_PondTime,74.839
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,471
Pond1Fish7_TimeLeft,754.014
Type,RT
FishN,18
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,0.95
Pond1Fish8_PondTime,92.226
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,481
Pond1Fish8_TimeLeft,736.627
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,1.399
PondTime,92.787
TimeLeft,735.563
PondOutcome,80
TotalOutcome,481
PondStart,PondStart
PondIntroTime,10.959110027179122
Type,RD
FishN,15
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.469
Pond11Fish1_PondTime,8.559
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,493
Pond11Fish1_TimeLeft,715.415
Type,RD
FishN,15
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.016
Pond11Fish2_PondTime,15.532
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,505
Pond11Fish2_TimeLeft,708.442
PondEnd_LastFish,2
FishN,15
Type,RD
GiveUpTime,1.344
PondTime,16.091
TimeLeft,707.381
PondOutcome,24
TotalOutcome,505
PondStart,PondStart
PondIntroTime,12.034329778980464
Type,N
FishN,18
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.979
Pond12Fish1_PondTime,8.27
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,516
Pond12Fish1_TimeLeft,686.469
Type,N
FishN,18
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,14.982
Pond12Fish2_PondOutcome,11
Pond12Fish2_TotalOutcome,516
Pond12Fish2_TimeLeft,679.757
Type,N
FishN,18
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,2.021
Pond12Fish3_PondTime,22.024
Pond12Fish3_PondOutcome,22
Pond12Fish3_TotalOutcome,527
Pond12Fish3_TimeLeft,672.715
Type,N
FishN,18
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.108
Pond12Fish4_PondTime,29.389
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,538
Pond12Fish4_TimeLeft,665.35
Type,N
FishN,18
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.026
Pond12Fish5_PondTime,37.214
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,549
Pond12Fish5_TimeLeft,657.525
Type,N
FishN,18
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.174
Pond12Fish6_PondTime,45.588
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,560
Pond12Fish6_TimeLeft,649.151
Type,N
FishN,18
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.9
Pond12Fish7_PondTime,54.63
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,571
Pond12Fish7_TimeLeft,640.109
PondEnd_LastFish,7
FishN,16
Type,N
GiveUpTime,6.137
PondTime,59.879
TimeLeft,634.356
PondOutcome,66
TotalOutcome,571
PondStart,PondStart
PondIntroTime,11.917666578665376
Type,RT
FishN,15
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,0.879
Pond6Fish1_PondTime,9.742
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,581
Pond6Fish1_TimeLeft,612.089
Type,RT
FishN,15
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.942
Pond6Fish2_PondTime,18.118
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,591
Pond6Fish2_TimeLeft,603.713
Type,RT
FishN,15
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.497
Pond6Fish3_PondTime,27.153
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,601
Pond6Fish3_TimeLeft,594.678
Type,RT
FishN,15
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.379
Pond6Fish4_PondTime,37.032
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,611
Pond6Fish4_TimeLeft,584.799
Type,RT
FishN,15
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,-1
Pond6Fish5_PondTime,48.05
Pond6Fish5_PondOutcome,40
Pond6Fish5_TotalOutcome,611
Pond6Fish5_TimeLeft,573.781
